ORDER_ID,CUSTOMER_ID,AMOUNT,DISCOUNT
ORD0000059,CUS0000073,3508.04,8.97
ORD0000060,CUS0000062,4897.11,9.24
ORD0000061,CUS0000097,3859.9,14.6
ORD0000062,CUS0000071,3245.26,21.71
ORD0000063,CUS0000067,13152.33,2.11
ORD0000064,CUS0000079,4688.23,19.18
ORD0000065,CUS0000020,11063.69,0.74
ORD0000066,CUS0000014,4095.25,19.13
ORD0000067,CUS0000012,14043.97,26.81
ORD0000068,CUS0000030,1345.93,5.92
ORD0000069,CUS0000094,4145.17,1.81
ORD0000070,CUS0000022,2687.12,13.86
ORD0000071,CUS0000039,5641.83,13.75
ORD0000072,CUS0000089,7667.3,4.18
ORD0000073,CUS0000042,2111.77,10.94
ORD0000074,CUS0000050,11982.52,13.42
ORD0000075,CUS0000040,4262.61,6.32
ORD0000076,CUS0000060,1319.71,9.04
ORD0000077,CUS0000056,1579.6,17.8
ORD0000078,CUS0000068,11374.46,28.45
ORD0000079,CUS0000039,13859.2,23.66
ORD0000080,CUS0000028,1130.51,20.63
ORD0000081,CUS0000083,3149.04,21.49
ORD0000082,CUS0000025,7609.44,14.99
ORD0000083,CUS0000068,6862.32,7.64
ORD0000084,CUS0000014,4287.21,15.46
ORD0000085,CUS0000018,965.36,13.07
ORD0000086,CUS0000065,3908.22,7.64
ORD0000087,CUS0000020,10707.95,15.54
ORD0000088,CUS0000007,8760.47,13.18
ORD0000089,CUS0000059,10618.68,16.28
ORD0000090,CUS0000014,540.25,21.53
ORD0000091,CUS0000062,4182.39,8.62
ORD0000092,CUS0000086,12229.44,13.44
ORD0000093,CUS0000012,11808.14,16.32
ORD0000094,CUS0000062,1163.06,5.59
ORD0000095,CUS0000001,870.36,9.93
ORD0000096,CUS0000006,898.59,16.69
ORD0000097,CUS0000042,1333.31,18.86
ORD0000098,CUS0000027,1963.18,3.69
ORD0000099,CUS0000060,765.65,19.04
ORD0000100,CUS0000011,7190.32,3.13
ORD0000101,CUS0000026,3263.05,7.34
ORD0000102,CUS0000100,2286.51,26.82
ORD0000103,CUS0000013,8041.62,2.17
ORD0000104,CUS0000065,3507.25,24.24
ORD0000105,CUS0000085,3546.76,7.77
ORD0000106,CUS0000051,11079.93,23.74
ORD0000107,CUS0000081,3702.58,14.74
ORD0000108,CUS0000074,2346.72,18.84
ORD0000109,CUS0000053,3486.47,13.79
ORD0000110,CUS0000076,3821.9,13.27
ORD0000111,CUS0000082,13328.07,14.55
ORD0000112,CUS0000003,10224.68,24.57
ORD0000113,CUS0000057,646.5,17.36
ORD0000114,CUS0000099,13673.26,2.27
ORD0000115,CUS0000010,2576.77,3.69
ORD0000116,CUS0000081,4201.31,29.05
ORD0000117,CUS0000084,2762.14,15.73
ORD0000118,CUS0000030,2733.34,29.27
ORD0000119,CUS0000031,1909.08,3.07
ORD0000120,CUS0000012,6293.42,27.42
ORD0000121,CUS0000077,824.27,3.42
ORD0000122,CUS0000056,671.14,1.92
ORD0000123,CUS0000095,3456.01,16.74
ORD0000124,CUS0000056,4146.25,29.75
ORD0000125,CUS0000046,3652.09,17.35
ORD0000126,CUS0000048,1773.28,12.77
ORD0000127,CUS0000003,9383.68,21.94
ORD0000128,CUS0000004,3256.67,1.77
ORD0000129,CUS0000055,1719.09,25.34
ORD0000130,CUS0000069,1843.08,10.69
ORD0000131,CUS0000040,645.78,28.18
ORD0000132,CUS0000051,8026.73,8.13
ORD0000133,CUS0000041,5811.61,1.32
ORD0000134,CUS0000095,1473.82,3.72
ORD0000135,CUS0000043,2120.4,13.46
ORD0000136,CUS0000015,2730.95,15.1
ORD0000137,CUS0000024,4531.44,13.34
ORD0000138,CUS0000056,2655.1,6.66
ORD0000139,CUS0000077,3746.06,7.75
ORD0000140,CUS0000081,2331.48,29.07
ORD0000141,CUS0000042,1799.37,23.9
ORD0000142,CUS0000080,2788.43,21.19
ORD0000143,CUS0000097,2983.53,14.45
ORD0000144,CUS0000033,12770.48,19.83
ORD0000145,CUS0000050,12809.59,25.76
ORD0000146,CUS0000005,592.66,22.98
ORD0000147,CUS0000022,1808.98,22.38
ORD0000148,CUS0000080,3428.2,4.65
ORD0000149,CUS0000077,2807.12,27.6
ORD0000150,CUS0000075,534.39,27.19
ORD0000151,CUS0000032,3002.83,9.1
ORD0000152,CUS0000093,3691.13,16.94
ORD0000153,CUS0000065,4431.48,1.82
ORD0000154,CUS0000092,13711.83,26.73
ORD0000155,CUS0000016,2536.03,22.37
ORD0000156,CUS0000033,6477.95,6.89
ORD0000157,CUS0000088,12990.87,7.99
ORD0000158,CUS0000023,3080.08,29.85
ORD0000159,CUS0000006,4702.09,2.77
ORD0000160,CUS0000039,10442.5,20.99
ORD0000161,CUS0000018,2870.44,19.21
ORD0000162,CUS0000097,4959.12,11.14
ORD0000163,CUS0000058,3534.31,24.62
ORD0000164,CUS0000086,14271.15,17.74
ORD0000165,CUS0000097,993.82,3.83
ORD0000166,CUS0000054,1783.01,8.15
ORD0000167,CUS0000051,6503.21,29.81
ORD0000168,CUS0000077,3642.49,29.66
ORD0000169,CUS0000076,4626.76,29.97
ORD0000170,CUS0000073,4869.73,10.44
ORD0000171,CUS0000090,10804.15,4.5
ORD0000172,CUS0000032,4538.73,26.89
ORD0000173,CUS0000044,5923.8,16.41
ORD0000174,CUS0000057,3671.75,0.39
ORD0000175,CUS0000043,4644.38,15.73
ORD0000176,CUS0000031,1394.35,16.52
ORD0000177,CUS0000067,8762.73,9.85
ORD0000178,CUS0000081,1574.4,6.9
ORD0000179,CUS0000011,7873.32,28.07
ORD0000180,CUS0000062,3633.57,3.72
ORD0000181,CUS0000006,636.68,29.69
ORD0000182,CUS0000028,1773.21,11.71
ORD0000183,CUS0000005,3832.9,9.5
ORD0000184,CUS0000008,644.74,11.97
ORD0000185,CUS0000016,1570.81,3.95
ORD0000186,CUS0000008,4672.61,21.94
ORD0000187,CUS0000073,2420.54,10.45
ORD0000188,CUS0000068,7485.96,24.0
ORD0000189,CUS0000004,2538.56,23.54
ORD0000190,CUS0000042,3732.77,23.6
ORD0000191,CUS0000063,11234.89,25.19
ORD0000192,CUS0000087,3400.34,24.76
ORD0000193,CUS0000085,2187.14,28.35
ORD0000194,CUS0000056,4851.0,7.24
ORD0000195,CUS0000046,3256.63,14.08
ORD0000196,CUS0000012,12566.41,19.41
ORD0000197,CUS0000007,7077.02,11.51
ORD0000198,CUS0000026,2434.03,24.04
ORD0000199,CUS0000021,12403.01,21.92
ORD0000200,CUS0000066,12647.15,26.87
ORD0000201,CUS0000096,6642.27,13.63
ORD0000202,CUS0000084,574.91,9.79
ORD0000203,CUS0000042,1267.83,12.49
ORD0000204,CUS0000060,2957.97,3.52
ORD0000205,CUS0000083,4257.55,12.4
ORD0000206,CUS0000091,11643.95,16.78
ORD0000207,CUS0000082,12303.57,8.1
ORD0000208,CUS0000043,1521.06,26.21
ORD0000209,CUS0000050,12306.61,26.04
ORD0000210,CUS0000074,2122.75,29.74
ORD0000211,CUS0000078,2230.78,10.13
ORD0000212,CUS0000037,4729.6,10.78
ORD0000213,CUS0000017,2175.64,22.91
ORD0000214,CUS0000057,2779.45,25.02
ORD0000215,CUS0000073,1218.26,0.83
ORD0000216,CUS0000056,507.87,17.05
ORD0000217,CUS0000015,3579.11,15.47
ORD0000218,CUS0000049,4490.38,11.91
ORD0000219,CUS0000065,4814.0,4.52
ORD0000220,CUS0000080,2478.29,6.51
ORD0000221,CUS0000023,1595.66,7.77
ORD0000222,CUS0000012,14507.53,5.28
ORD0000223,CUS0000040,1689.93,28.05
ORD0000224,CUS0000040,2820.49,13.62
ORD0000225,CUS0000005,2078.06,24.75
ORD0000226,CUS0000001,4163.21,20.98
ORD0000227,CUS0000089,10852.58,7.93
ORD0000228,CUS0000003,11636.05,8.37
ORD0000229,CUS0000053,4722.42,29.11
ORD0000230,CUS0000004,1050.13,6.49
ORD0000231,CUS0000078,3249.17,13.67
ORD0000232,CUS0000067,7639.32,10.08
ORD0000233,CUS0000036,859.1,21.07
ORD0000234,CUS0000032,4130.54,29.95
ORD0000235,CUS0000028,1741.42,24.52
ORD0000236,CUS0000093,3671.85,12.46
ORD0000237,CUS0000040,4765.23,7.9
ORD0000238,CUS0000016,3408.18,3.13
ORD0000239,CUS0000060,2364.3,5.87
ORD0000240,CUS0000026,2319.58,25.02
ORD0000241,CUS0000076,1171.11,23.16
ORD0000242,CUS0000086,12853.1,22.05
ORD0000243,CUS0000048,2252.34,5.25
ORD0000244,CUS0000030,847.1,26.99
ORD0000245,CUS0000049,3932.24,1.43
ORD0000246,CUS0000002,2557.46,22.61
ORD0000247,CUS0000048,4517.71,4.24
ORD0000248,CUS0000092,7303.63,3.67
ORD0000249,CUS0000008,699.89,11.39
ORD0000250,CUS0000047,7269.19,25.03
ORD0000251,CUS0000084,1097.24,18.98
ORD0000252,CUS0000084,4872.44,23.33
ORD0000253,CUS0000006,550.06,14.1
ORD0000254,CUS0000002,1993.32,17.52
ORD0000255,CUS0000028,4361.84,9.46
ORD0000256,CUS0000075,1219.69,25.36
ORD0000257,CUS0000065,1768.49,15.09
ORD0000258,CUS0000066,8800.58,14.33
ORD0000259,CUS0000078,4918.75,27.53
ORD0000260,CUS0000039,13146.52,29.65
ORD0000261,CUS0000046,2131.05,23.72
ORD0000262,CUS0000015,3229.77,21.6
ORD0000263,CUS0000002,3556.21,14.75
ORD0000264,CUS0000034,10003.9,22.37
ORD0000265,CUS0000097,4319.9,12.94
ORD0000266,CUS0000053,1825.04,15.31
ORD0000267,CUS0000084,3795.54,0.6
ORD0000268,CUS0000093,2383.92,24.44
ORD0000269,CUS0000076,752.79,0.02
ORD0000270,CUS0000039,9974.18,26.8
ORD0000271,CUS0000081,2994.71,6.44
ORD0000272,CUS0000066,13767.08,10.46
ORD0000273,CUS0000011,11813.72,24.3
ORD0000274,CUS0000091,5311.5,4.69
ORD0000275,CUS0000045,8940.19,23.47
ORD0000276,CUS0000068,11851.56,22.89
ORD0000277,CUS0000088,13278.44,25.15
ORD0000278,CUS0000007,5130.71,4.27
ORD0000279,CUS0000047,10665.08,2.49
ORD0000280,CUS0000012,14300.93,25.16
ORD0000281,CUS0000078,1425.3,15.55
ORD0000282,CUS0000024,3316.68,20.87
ORD0000283,CUS0000002,4400.46,16.04
ORD0000284,CUS0000073,1382.7,24.82
ORD0000285,CUS0000007,8401.89,29.86
ORD0000286,CUS0000066,5694.44,12.67
ORD0000287,CUS0000019,531.48,17.34
ORD0000288,CUS0000016,2476.34,3.69
ORD0000289,CUS0000011,10282.23,13.76
ORD0000290,CUS0000012,11206.17,23.97
ORD0000291,CUS0000015,621.7,16.41
ORD0000292,CUS0000021,5535.75,19.38
ORD0000293,CUS0000039,10181.35,9.75
ORD0000294,CUS0000011,9155.3,7.43
ORD0000295,CUS0000071,1703.52,25.02
ORD0000296,CUS0000082,6627.21,24.23
ORD0000297,CUS0000070,1567.19,11.31
ORD0000298,CUS0000045,7760.92,29.26
ORD0000299,CUS0000030,2294.48,27.45
ORD0000300,CUS0000052,3649.06,27.91
ORD0000301,CUS0000039,5968.83,3.84
ORD0000302,CUS0000062,2089.14,3.29
ORD0000303,CUS0000039,14762.23,26.19
ORD0000304,CUS0000059,14886.62,25.26
ORD0000305,CUS0000072,2939.23,11.02
ORD0000306,CUS0000043,2949.29,10.22
ORD0000307,CUS0000055,1205.83,8.63
ORD0000308,CUS0000097,3447.43,26.33
ORD0000309,CUS0000006,1972.17,20.6
ORD0000310,CUS0000075,632.51,5.94
ORD0000311,CUS0000017,599.55,27.41
ORD0000312,CUS0000055,2009.54,24.61
ORD0000313,CUS0000002,2226.3,26.56
ORD0000314,CUS0000001,4273.53,18.22
ORD0000315,CUS0000008,3956.91,16.74
ORD0000316,CUS0000021,9442.12,14.52
ORD0000317,CUS0000025,5228.03,17.73
ORD0000318,CUS0000010,1643.82,22.84
ORD0000319,CUS0000011,11755.46,1.12
ORD0000320,CUS0000036,2837.32,8.61
ORD0000321,CUS0000011,7934.53,12.93
ORD0000322,CUS0000039,8216.93,12.69
ORD0000323,CUS0000019,3586.64,13.32
ORD0000324,CUS0000033,8396.35,2.69
ORD0000325,CUS0000081,3239.61,8.03
ORD0000326,CUS0000043,3803.11,8.09
ORD0000327,CUS0000040,651.58,7.2
ORD0000328,CUS0000072,3591.13,4.35
ORD0000329,CUS0000021,13844.98,25.24
ORD0000330,CUS0000066,8194.69,28.71
ORD0000331,CUS0000053,725.08,3.16
ORD0000332,CUS0000085,4770.24,14.73
ORD0000333,CUS0000024,1678.45,22.15
ORD0000334,CUS0000058,2362.52,7.61
ORD0000335,CUS0000048,3471.54,11.11
ORD0000336,CUS0000054,3656.51,10.4
ORD0000337,CUS0000032,3485.76,13.18
ORD0000338,CUS0000077,2212.24,18.63
ORD0000339,CUS0000067,10191.23,12.25
ORD0000340,CUS0000034,9834.24,2.31
ORD0000341,CUS0000065,3574.71,14.39
ORD0000342,CUS0000001,614.57,9.23
ORD0000343,CUS0000015,1537.94,16.2
ORD0000344,CUS0000013,13775.96,24.77
ORD0000345,CUS0000064,1648.88,3.71
ORD0000346,CUS0000032,3827.45,26.72
ORD0000347,CUS0000047,14487.67,9.44
ORD0000348,CUS0000059,12465.48,24.81
ORD0000349,CUS0000011,9845.07,17.35
ORD0000350,CUS0000081,3653.03,12.24
ORD0000351,CUS0000046,4792.49,8.6
ORD0000352,CUS0000099,5675.68,2.12
ORD0000353,CUS0000019,2894.83,27.86
ORD0000354,CUS0000060,4523.94,26.35
ORD0000355,CUS0000050,5470.4,18.13
ORD0000356,CUS0000012,9942.96,20.82
ORD0000357,CUS0000019,3938.19,4.22
ORD0000358,CUS0000037,4322.89,22.76
ORD0000359,CUS0000035,1991.66,11.54
ORD0000360,CUS0000100,3732.96,15.88
ORD0000361,CUS0000019,3563.82,5.97
ORD0000362,CUS0000084,4315.71,19.99
ORD0000363,CUS0000096,9083.63,23.44
ORD0000364,CUS0000005,3426.0,0.61
ORD0000365,CUS0000059,14801.64,24.05
ORD0000366,CUS0000026,4788.78,2.36
ORD0000367,CUS0000031,4579.83,20.99
ORD0000368,CUS0000062,3300.69,25.53
ORD0000369,CUS0000100,2078.45,4.64
ORD0000370,CUS0000061,14306.41,13.83
ORD0000371,CUS0000080,3621.88,9.56
ORD0000372,CUS0000061,10856.43,26.73
ORD0000373,CUS0000093,4143.36,1.18
ORD0000374,CUS0000059,14261.66,27.35
ORD0000375,CUS0000090,10440.82,13.78
ORD0000376,CUS0000054,2365.58,24.25
ORD0000377,CUS0000045,8471.55,26.63
ORD0000378,CUS0000001,3759.51,3.11
ORD0000379,CUS0000059,5428.56,22.09
ORD0000380,CUS0000097,764.26,7.59
ORD0000381,CUS0000002,2351.9,21.7
ORD0000382,CUS0000093,3935.3,5.43
ORD0000383,CUS0000099,7453.34,22.08
ORD0000384,CUS0000033,9496.39,22.48
ORD0000385,CUS0000096,6654.92,9.23
ORD0000386,CUS0000050,10923.25,23.28
ORD0000387,CUS0000007,7448.14,3.67
ORD0000388,CUS0000096,10281.35,6.14
ORD0000389,CUS0000008,1431.53,29.76
ORD0000390,CUS0000011,11343.64,24.94
ORD0000391,CUS0000044,8292.7,8.16
ORD0000392,CUS0000022,1473.5,28.09
ORD0000393,CUS0000018,2726.98,16.72
ORD0000394,CUS0000050,8349.4,16.29
ORD0000395,CUS0000074,2583.48,2.54
ORD0000396,CUS0000067,11614.66,9.44
ORD0000397,CUS0000095,2794.81,10.81
ORD0000398,CUS0000019,2132.01,2.52
ORD0000399,CUS0000073,1670.36,24.17
ORD0000400,CUS0000068,14223.65,15.95
ORD0000401,CUS0000015,2198.77,17.7
ORD0000402,CUS0000043,3179.1,19.24
ORD0000403,CUS0000006,1373.77,19.1
ORD0000404,CUS0000074,2927.0,29.23
ORD0000405,CUS0000045,12260.69,5.52
ORD0000406,CUS0000080,2563.31,23.15
ORD0000407,CUS0000097,4220.91,26.45
ORD0000408,CUS0000049,1934.4,8.83
ORD0000409,CUS0000082,8756.02,17.5
ORD0000410,CUS0000025,12432.42,17.38
ORD0000411,CUS0000015,2763.24,17.33
ORD0000412,CUS0000059,6870.38,3.88
ORD0000413,CUS0000089,11591.49,24.97
ORD0000414,CUS0000008,2372.34,2.86
ORD0000415,CUS0000036,4437.15,29.15
ORD0000416,CUS0000003,8813.2,24.3
ORD0000417,CUS0000076,3445.18,9.45
ORD0000418,CUS0000064,2095.5,23.73
ORD0000419,CUS0000070,1330.12,1.41
ORD0000420,CUS0000064,1402.8,2.98
ORD0000421,CUS0000018,2420.86,15.75
ORD0000422,CUS0000085,4902.88,8.01
ORD0000423,CUS0000016,4508.51,15.96
ORD0000424,CUS0000017,1016.3,18.58
ORD0000425,CUS0000007,10616.28,11.47
ORD0000426,CUS0000022,1246.21,22.6
ORD0000427,CUS0000030,3400.8,5.08
ORD0000428,CUS0000003,14165.21,6.88
ORD0000429,CUS0000023,1324.32,6.72
ORD0000430,CUS0000095,4460.49,11.69
ORD0000431,CUS0000064,3819.2,11.07
ORD0000432,CUS0000016,2988.41,5.83
ORD0000433,CUS0000039,6454.16,15.78
ORD0000434,CUS0000093,2524.11,20.9
ORD0000435,CUS0000032,3376.91,17.71
ORD0000436,CUS0000022,2195.66,12.54
ORD0000437,CUS0000035,2008.99,22.62
ORD0000438,CUS0000092,14778.38,16.34
ORD0000439,CUS0000065,3205.11,20.06
ORD0000440,CUS0000021,11320.97,12.45
ORD0000441,CUS0000087,3285.49,11.57
ORD0000442,CUS0000063,12455.65,12.26
ORD0000443,CUS0000031,3683.2,23.01
ORD0000444,CUS0000092,9715.86,2.03
ORD0000445,CUS0000053,4973.33,16.53
ORD0000446,CUS0000084,974.41,8.6
ORD0000447,CUS0000075,3254.13,29.02
ORD0000448,CUS0000071,4730.58,28.87
ORD0000449,CUS0000033,12732.16,26.41
ORD0000450,CUS0000060,4928.8,3.55
ORD0000451,CUS0000033,8969.65,10.24
ORD0000452,CUS0000078,1370.24,9.03
ORD0000453,CUS0000078,4302.57,2.84
ORD0000454,CUS0000083,3345.93,0.88
ORD0000455,CUS0000021,8859.07,4.37
ORD0000456,CUS0000043,4171.78,23.06
ORD0000457,CUS0000054,2154.73,21.9
ORD0000458,CUS0000013,7894.26,20.91
ORD0000459,CUS0000049,4673.09,7.9
ORD0000460,CUS0000049,4003.2,4.01
ORD0000461,CUS0000036,2197.51,2.73
ORD0000462,CUS0000021,8987.89,14.03
ORD0000463,CUS0000037,1427.38,16.34
ORD0000464,CUS0000071,3577.58,5.6
ORD0000465,CUS0000019,2655.7,25.59
ORD0000466,CUS0000058,4240.52,3.45
ORD0000467,CUS0000075,2275.91,14.47
ORD0000468,CUS0000015,3119.87,11.91
ORD0000469,CUS0000053,4315.32,14.16
ORD0000470,CUS0000059,8979.17,19.01
ORD0000471,CUS0000071,2459.38,4.81
ORD0000472,CUS0000011,7762.35,26.04
ORD0000473,CUS0000021,9692.38,18.7
ORD0000474,CUS0000065,2616.46,25.77
ORD0000475,CUS0000046,4610.44,20.96
ORD0000476,CUS0000073,2093.7,3.46
ORD0000477,CUS0000037,2090.04,29.07
ORD0000478,CUS0000097,3061.76,16.57
ORD0000479,CUS0000028,1006.66,0.78
ORD0000480,CUS0000045,13119.15,8.34
ORD0000481,CUS0000055,2619.12,14.48
ORD0000482,CUS0000016,4358.54,14.36
ORD0000483,CUS0000064,2578.79,15.89
ORD0000484,CUS0000100,942.81,25.84
ORD0000485,CUS0000051,6921.95,8.81
ORD0000486,CUS0000008,816.28,29.34
ORD0000487,CUS0000097,911.27,2.64
ORD0000488,CUS0000056,4974.47,25.22
ORD0000489,CUS0000033,8179.36,27.6
ORD0000490,CUS0000075,1429.18,25.42
ORD0000491,CUS0000067,11319.1,3.69
ORD0000492,CUS0000004,4528.8,27.44
ORD0000493,CUS0000080,1984.4,23.64
ORD0000494,CUS0000036,2716.04,9.45
ORD0000495,CUS0000056,3861.78,4.94
ORD0000496,CUS0000040,3162.37,14.2
ORD0000497,CUS0000022,1460.28,28.5
ORD0000498,CUS0000073,4027.09,17.15
ORD0000499,CUS0000036,3770.93,24.58
ORD0000500,CUS0000057,510.13,26.49
ORD0000501,CUS0000047,14272.13,16.04
ORD0000502,CUS0000005,1191.96,22.99
ORD0000503,CUS0000007,10359.01,25.18
ORD0000504,CUS0000086,5141.97,12.37
ORD0000505,CUS0000093,4658.3,17.78
ORD0000506,CUS0000066,14388.86,8.24
ORD0000507,CUS0000010,4783.64,8.67
ORD0000508,CUS0000043,4873.35,3.84
ORD0000509,CUS0000040,3633.91,26.38
ORD0000510,CUS0000058,2452.71,21.25
ORD0000511,CUS0000048,3613.54,1.08
ORD0000512,CUS0000001,4764.46,19.38
ORD0000513,CUS0000024,4044.81,25.68
ORD0000514,CUS0000076,2299.55,18.11
ORD0000515,CUS0000065,704.97,16.89
ORD0000516,CUS0000065,1599.75,11.35
ORD0000517,CUS0000011,10768.15,26.88
ORD0000518,CUS0000003,11279.74,16.31
ORD0000519,CUS0000027,3360.8,4.3
ORD0000520,CUS0000044,14033.81,23.21
ORD0000521,CUS0000089,14123.49,10.58
ORD0000522,CUS0000080,1193.12,27.65
ORD0000523,CUS0000043,4277.84,4.27
ORD0000524,CUS0000021,9115.32,9.9
ORD0000525,CUS0000081,602.76,0.0
ORD0000526,CUS0000090,6183.52,7.02
ORD0000527,CUS0000004,1084.58,22.7
ORD0000528,CUS0000028,3942.1,22.26
ORD0000529,CUS0000041,5445.34,25.14
ORD0000530,CUS0000086,14942.77,10.52
ORD0000531,CUS0000091,6531.92,25.96
ORD0000532,CUS0000085,2759.13,5.73
ORD0000533,CUS0000030,2392.17,1.38
ORD0000534,CUS0000013,6640.63,17.8
ORD0000535,CUS0000059,10484.56,27.64
ORD0000536,CUS0000079,1672.23,25.47
ORD0000537,CUS0000071,2288.39,12.47
ORD0000538,CUS0000053,2581.89,24.93
ORD0000539,CUS0000029,957.14,16.84
ORD0000540,CUS0000082,9071.18,20.85
ORD0000541,CUS0000091,14134.28,5.48
ORD0000542,CUS0000041,10428.7,0.84
ORD0000543,CUS0000045,7186.12,4.13
ORD0000544,CUS0000032,1111.89,7.34
ORD0000545,CUS0000063,6813.93,7.44
ORD0000546,CUS0000031,2444.84,24.8
ORD0000547,CUS0000059,12005.6,5.85
ORD0000548,CUS0000059,12542.88,23.25
ORD0000549,CUS0000065,3840.62,24.41
ORD0000550,CUS0000062,680.2,14.01
ORD0000551,CUS0000021,7710.46,5.76
ORD0000552,CUS0000018,3590.35,5.13
ORD0000553,CUS0000086,13202.52,13.01
ORD0000554,CUS0000054,1303.4,29.42
ORD0000555,CUS0000084,1451.78,15.3
ORD0000556,CUS0000053,524.43,25.3
ORD0000557,CUS0000057,817.6,17.52
ORD0000558,CUS0000002,3752.53,15.22
ORD0000559,CUS0000022,3928.23,17.25
ORD0000560,CUS0000054,3852.17,28.1
ORD0000561,CUS0000021,5874.23,18.7
ORD0000562,CUS0000030,2715.45,11.38
ORD0000563,CUS0000021,14941.68,27.73
ORD0000564,CUS0000043,2123.09,6.25
ORD0000565,CUS0000023,4731.63,14.35
ORD0000566,CUS0000041,13269.33,21.31
ORD0000567,CUS0000096,6571.63,11.75
ORD0000568,CUS0000016,3073.29,20.42
ORD0000569,CUS0000097,4047.71,15.86
ORD0000570,CUS0000094,1436.72,8.0
ORD0000571,CUS0000083,1067.45,9.14
ORD0000572,CUS0000072,1836.86,2.28
ORD0000573,CUS0000030,4490.95,10.6
ORD0000574,CUS0000005,3767.5,20.28
ORD0000575,CUS0000041,7715.63,19.65
ORD0000576,CUS0000006,3240.0,12.09
ORD0000577,CUS0000042,1376.78,19.82
ORD0000578,CUS0000034,10417.83,2.2
ORD0000579,CUS0000031,920.84,3.02
ORD0000580,CUS0000094,3366.89,15.45
ORD0000581,CUS0000095,4523.02,17.41
ORD0000582,CUS0000072,896.96,10.13
ORD0000583,CUS0000035,1933.35,26.99
ORD0000584,CUS0000065,4298.13,27.94
ORD0000585,CUS0000073,3339.62,19.52
ORD0000586,CUS0000077,2628.91,18.44
ORD0000587,CUS0000009,12123.67,24.69
ORD0000588,CUS0000078,1539.77,5.11
ORD0000589,CUS0000013,8099.88,10.53
ORD0000590,CUS0000069,4866.87,27.85
ORD0000591,CUS0000075,2289.87,26.13
ORD0000592,CUS0000067,14946.8,24.48
ORD0000593,CUS0000092,9555.41,21.37
ORD0000594,CUS0000094,4816.58,22.24
ORD0000595,CUS0000057,517.82,27.69
ORD0000596,CUS0000057,2913.05,1.38
ORD0000597,CUS0000076,2472.65,5.31
ORD0000598,CUS0000016,1120.09,29.63
ORD0000599,CUS0000044,5609.98,22.74
ORD0000600,CUS0000100,4263.85,8.7
ORD0000601,CUS0000074,4562.95,0.04
ORD0000602,CUS0000058,630.71,20.64
ORD0000603,CUS0000021,9967.53,16.03
ORD0000604,CUS0000013,6438.57,14.11
ORD0000605,CUS0000097,2856.59,12.43
ORD0000606,CUS0000009,8212.86,27.94
ORD0000607,CUS0000021,10662.72,14.46
