ORDER_ID,START_DATE,END_DATE,MIN_AMOUNT,MAX_AMOUNT,ORDER_AMOUNT,CUSTOMER_NAME
ORD0000044,2030-09-13,2030-12-13,1651.64,4623.1,3101.56,CEPSOF1GG2KTBCUDSWX1JP
ORD0000045,2025-12-15,2029-10-11,2119.05,4402.26,2507.16,YP5JO3Q
ORD0000046,2025-02-25,2025-04-04,1351.1,4631.13,2877.14,8KE2WT1Q3TMY4G
ORD0000047,2022-08-29,2026-09-07,1968.69,3711.12,3698.39,BZRAD5SOWOMQIG
ORD0000048,2030-02-17,2030-03-09,3174.54,3738.48,3423.14,XIFSU0LMI8X76RKQ4SVH3EJ
ORD0000049,2028-06-16,2030-11-13,4835.85,4946.87,4910.72,9XFZAQ8H3XQYXGO4B
ORD0000050,2026-12-12,2030-02-03,4432.75,4618.81,4546.26,E3T0HICCT5HGP8IY3X80J0G50
ORD0000051,2030-07-13,2030-07-21,4762.46,4926.43,4798.09,PXGX8WDZRMH3FNBDVPI
ORD0000052,2028-10-28,2029-01-06,2866.43,4636.9,3847.64,NOVJARJI8QLHBIAWPUBLQDI
ORD0000053,2028-04-26,2028-08-20,2162.71,4278.38,3170.29,X6G26OC7T3BD4Z1G52EFUJEIR9UY7
ORD0000054,2023-04-22,2030-02-03,2323.21,3474.76,3236.5,9N12O0V3
ORD0000055,2024-06-21,2025-07-15,2138.35,3032.75,2417.87,XJ4EFFF1GXI9D
ORD0000056,2026-07-30,2029-09-22,4787.46,4857.52,4796.02,1DSTWG6NJ4OGW9XH
ORD0000057,2028-07-20,2029-03-08,1464.98,4318.52,3876.66,9BRBLRTVWALJZEJBF7NY03VKXTUFD
ORD0000058,2021-09-29,2028-09-02,871.31,1076.76,888.07,1520RN6HW1HS57TCOZD
ORD0000059,2020-02-01,2030-09-08,1101.67,1925.13,1214.68,SUHA51LIY8O69
ORD0000060,2029-05-06,2030-05-03,3373.44,3490.68,3474.47,1B3EU1
ORD0000061,2026-06-06,2030-01-07,2081.67,3300.64,2222.06,UK3XF
ORD0000062,2024-11-23,2027-08-16,4237.97,4569.97,4370.92,ZTVOVKE
ORD0000063,2025-09-21,2028-09-11,3202.8,4119.29,4033.07,WJPGJQMLJEL532UU
ORD0000064,2021-09-10,2026-12-13,2254.84,3468.77,2622.44,DW6ET32CDXSEF
ORD0000065,2026-11-24,2029-01-19,3010.99,3931.33,3521.15,C2MU46JD2GVF6LCP2277KXXSY0VDVE
ORD0000066,2023-09-12,2028-01-12,563.08,1823.82,1475.52,JVFJWTZIFT9YVI7F16XBXTLNV5
ORD0000067,2022-02-25,2023-09-11,1210.06,1797.29,1383.76,G687CVIYJKLK2C0XP2S2O8PT4MX23S
ORD0000068,2028-09-22,2030-03-16,1971.17,3239.22,2176.67,IQD4X9G7HSF
ORD0000069,2028-07-22,2029-10-25,885.53,4610.39,1434.38,FO2WB0DZ6XPYFXOBUG
ORD0000070,2029-05-30,2030-05-08,3602.05,4708.36,3754.28,4I42AFBQNJ971H
ORD0000071,2028-09-14,2029-07-19,1511.7,1936.74,1613.05,3EH58B6PJS1AWP0LF7XE78669
ORD0000072,2020-03-24,2025-07-01,2013.22,2143.25,2063.53,QBWEWPGVICW8VL34
ORD0000073,2027-01-31,2027-11-03,993.16,1245.99,1189.4,CSMCMCUT6Z84QCMSWDV
ORD0000074,2023-01-24,2027-03-11,709.93,2584.48,1459.79,YVL55X7RF1F1L8SUGFU
ORD0000075,2027-05-31,2029-11-29,1548.64,3628.5,2434.9,2W2CW1RDEZX6KBJ2CIEPXXYCJ2X
ORD0000076,2024-03-03,2025-01-11,2275.3,3839.06,3103.25,URPHBL57Y9HQQ2NS5
ORD0000077,2022-03-30,2023-01-27,700.92,2644.29,2447.39,FUWE98STKLX6OHMIP5B
ORD0000078,2024-01-18,2028-03-08,2814.71,3836.13,3818.78,FETZ4700E
ORD0000079,2021-05-28,2028-08-10,4864.66,4874.7,4869.34,WI9LI16DH7JTKKUOW7SFQ
ORD0000080,2022-03-15,2028-05-18,3211.78,3702.56,3518.53,8F6KJKVCBFCQN0B58ST4PZT3
ORD0000081,2020-10-25,2022-08-03,3474.21,4144.96,3799.02,VJUUWZIX69G
ORD0000082,2023-07-31,2024-12-13,1284.52,2278.31,1530.9,DSY0PKUU
ORD0000083,2022-02-16,2027-09-18,3839.29,4995.32,4378.94,5BFZ63PNWDDS54
ORD0000084,2023-03-16,2024-05-29,2729.78,3708.08,3593.09,XZXCZD9MX9SEY629RHIGZXV9XJM6
ORD0000085,2024-07-02,2025-01-03,2550.38,2645.7,2618.4,473J6IUUKZTV6685T4BXVH0TB4QOD4
ORD0000086,2021-11-29,2029-12-30,2668.74,4113.51,3884.03,PCHMB2U0J
ORD0000087,2024-08-18,2029-03-25,3483.45,4244.48,3948.8,DI7N9U47YUL38V8WQ4MP
ORD0000088,2023-02-16,2025-08-25,2834.62,4873.29,4837.12,SN5U4W9RSH8YZWJSCSFW2Q4NM8R9R
ORD0000089,2021-07-16,2029-11-05,635.21,3196.6,1256.24,7OODG0V4GIA9K044MSUSDFO8CL
ORD0000090,2024-09-07,2026-08-28,4423.0,4961.87,4442.58,5LSCATGVS3875I63R
ORD0000091,2022-02-28,2025-11-13,4063.19,4215.42,4133.05,LAVSMLZ16UFZG
ORD0000092,2022-01-26,2027-06-04,4910.26,4939.3,4917.46,YP2RVTAQXPDH3
ORD0000093,2023-06-10,2029-01-27,882.61,4683.4,4256.96,THSXOOI4J3X0948NPF727XEHD96M8
ORD0000094,2021-09-05,2027-07-07,906.23,2715.02,2136.74,5F62D3I603D93TBZQANEC1WE8DE
ORD0000095,2030-06-21,2030-09-02,2413.15,3470.83,3226.48,0XY2YYF8IWHL8Z7IOABT3818YOP3W
ORD0000096,2021-09-27,2029-11-13,1450.68,4167.65,1538.21,0BPNEGC2DPCZ2O8NDI6SOUUPTJ
ORD0000097,2027-05-28,2029-09-20,2654.13,3359.07,2697.1,L195DWY7U00JTYL84POTJ3D
ORD0000098,2026-04-22,2028-08-22,2122.12,3725.92,2337.18,QNVF2XF8MDRY
ORD0000099,2027-07-22,2027-10-10,3064.35,4755.37,3382.54,9N4NVTANMH4PNZP9USY38WTQX653G
ORD0000100,2029-01-01,2030-04-26,4908.46,4978.18,4930.79,XU0COJBQ90S
ORD0000101,2021-09-16,2024-04-15,1061.34,2557.4,2308.1,9VQ553KWKI85L8D7CEDA
ORD0000102,2024-08-16,2027-03-21,773.71,1060.96,817.09,63XD45BA890
ORD0000103,2020-02-18,2028-03-25,181.96,1505.67,1475.86,61LGG
ORD0000104,2025-11-17,2026-12-15,829.6,3414.33,1482.03,RZFXZ3POTFCFZYY9
ORD0000105,2025-05-03,2025-06-10,374.96,3625.65,643.75,VG7CON4RCER8CLUBNJ
ORD0000106,2028-06-08,2030-09-26,4121.38,4471.33,4148.3,PY8VYIF6WD
ORD0000107,2021-02-04,2030-07-02,2241.73,2451.41,2368.62,ZUBR25OW9Y1LYFSPEFRJYJYU
ORD0000108,2024-01-17,2024-02-07,622.1,4750.29,2458.05,RGIFL129960GBFW9FUYAS0YF9P7KY
ORD0000109,2021-11-25,2025-04-11,780.32,1912.91,945.6,1R0T4EXQP5
ORD0000110,2026-08-29,2029-03-23,3121.68,3322.61,3182.89,VYV2V1ITUM4ULZUS5
ORD0000111,2030-11-07,2030-11-22,2921.81,3599.06,3111.64,ZXHM8L9B3N2SE05ITPQJ1YE24Z8608
ORD0000112,2020-05-30,2024-06-10,3974.53,4694.03,4558.98,FGPWKCZV1GAGQO679O2XZ36J
ORD0000113,2023-11-13,2029-04-12,4988.74,4989.92,4989.23,HJWTV3N
ORD0000114,2025-11-04,2028-07-06,2466.34,2713.68,2644.92,UETCHBVGKP7L9KV913O
ORD0000115,2028-12-11,2029-06-17,2084.73,2628.1,2441.89,BM21YANNREG8LXUM3
ORD0000116,2021-04-11,2030-12-13,1385.53,3154.76,3094.46,YZHWW3LTFIUHPTH
ORD0000117,2022-01-19,2023-08-21,1929.2,3497.84,2585.27,Y1L58L9K5
ORD0000118,2023-03-29,2026-10-07,787.45,4334.35,2984.44,A5IMY96505025KFB
ORD0000119,2028-12-03,2029-09-28,3829.18,3867.46,3837.79,K3596HHR8X8C28
ORD0000120,2022-06-14,2023-08-07,4949.9,4986.77,4974.0,TC2QWF2HPNW1
ORD0000121,2021-11-10,2030-08-29,3119.14,3507.76,3199.56,W8R8KU
ORD0000122,2030-12-23,2030-12-27,3549.86,4380.41,4340.87,GI0DRIIPJUPZ5JR0Y2EFZ
ORD0000123,2025-10-12,2029-09-03,3774.03,4921.95,4197.69,UAF3WE8ZN1N5RUSV9I5V
ORD0000124,2030-01-10,2030-02-03,3444.5,3515.96,3489.25,BHK23A1MITKRFXQFXKD
ORD0000125,2024-06-11,2027-01-26,3165.46,3952.9,3237.27,AN4EIO72
ORD0000126,2020-02-08,2023-12-16,139.51,4111.06,4064.02,I4EOYFGGUXTIYIJE7A
ORD0000127,2026-11-04,2029-04-23,3285.1,3887.35,3413.41,J02NFGIHYW1UIPRFP9SBTN76MZSD
ORD0000128,2028-10-15,2029-06-17,4499.77,4747.33,4527.68,E7AXUIY0X8L4EBEAQNCD
ORD0000129,2030-08-21,2030-12-28,3967.52,4263.31,4178.31,01ZF88JRFTF6NJ8UZET1PDPF1H3DT
ORD0000130,2027-06-21,2028-06-14,3734.3,3885.48,3841.32,AK5W77QKXIRHBV1R7EQE536XD5K
ORD0000131,2024-02-15,2025-04-11,870.82,4563.42,3360.08,O6ACAPC4
ORD0000132,2024-01-30,2025-10-05,1976.6,2517.67,2496.21,90OUP0
ORD0000133,2030-04-09,2030-08-25,3629.41,4761.51,4276.45,6DLO7CZE
ORD0000134,2029-11-01,2030-03-25,2378.96,4406.41,3008.88,93AXMST
ORD0000135,2028-04-17,2029-08-05,3151.32,3832.14,3812.98,M8PJA0BO8WAVAYTGN7P05DJRFCO70
ORD0000136,2027-11-10,2030-06-05,4488.33,4986.98,4530.67,6IZED1IP
ORD0000137,2023-04-09,2026-10-20,1378.86,4732.19,2696.56,UU2ROEMIGJGK23U0H8WN2T3QHFKT
ORD0000138,2029-04-07,2030-12-15,3553.05,3611.41,3601.83,JFPWZ6DTQLBZ299
ORD0000139,2022-10-20,2023-12-11,564.15,4130.12,1062.65,DOIMZ
ORD0000140,2024-03-04,2025-02-11,3462.8,4357.95,3694.48,BEM2IFV
ORD0000141,2021-05-16,2026-07-17,309.21,546.74,528.72,Z5BY1LWNLRR2JCPS50
ORD0000142,2029-11-24,2029-12-25,2798.37,2991.5,2872.34,M7P8BYW485W6UYRLBU
ORD0000143,2026-09-11,2028-04-08,1173.2,1397.42,1395.52,WOKGPPR8DOYWLLPUWBWJM
ORD0000144,2029-05-20,2030-10-06,4941.23,4973.09,4946.82,FDOOB7
ORD0000145,2025-05-11,2027-08-14,103.35,4052.23,1448.97,UDBJJH7XEX
ORD0000146,2027-11-25,2030-02-12,4715.42,4882.19,4771.55,IK15UL9WOLYTSIL
ORD0000147,2028-03-04,2030-05-14,108.81,4270.02,3316.4,CLUOG5JVEPWUKFV2AQNPEWQ
ORD0000148,2028-10-28,2028-10-29,629.37,839.8,721.58,K05YW8YG4OK2ECSBUQ
ORD0000149,2030-09-03,2030-10-16,613.15,1359.38,893.33,E9FV4B1K1KDGVNM098QSTPGDZ95J
ORD0000150,2020-08-11,2025-05-28,1868.06,2142.51,2094.18,4MGBNKSF4HTZ45QF8YLXYXL2C
ORD0000151,2022-12-14,2025-11-26,2254.73,2875.83,2421.53,JGFW80
ORD0000152,2030-11-20,2030-12-04,3806.64,4467.29,4362.11,084P4TFZC67JH2LKNMIC1
ORD0000153,2020-11-16,2025-10-04,4942.57,4954.17,4952.11,QUEFY9Z9U
ORD0000154,2029-08-09,2030-03-31,1453.38,4706.2,1493.6,70H0JJGGGS8W0QY54CLRZJZCZVP
ORD0000155,2020-07-20,2030-11-16,3754.17,4088.78,3878.79,TTR5GOIT2UR0FM2
ORD0000156,2022-05-15,2026-12-07,4575.82,4890.11,4814.52,D6KET6ZI7BLMMDPC
ORD0000157,2025-02-12,2029-02-27,347.74,3625.88,1245.88,6ZHBPX52L49WWKQFSBY
ORD0000158,2020-07-22,2026-12-21,898.25,4096.92,1583.78,ONR06BA4ILAO
ORD0000159,2022-10-30,2026-04-03,3080.89,4448.72,4051.19,1YW3QN3T7ZGA6
ORD0000160,2027-06-06,2029-07-11,4835.78,4927.98,4890.53,TG4EVRURQTMJ7P
ORD0000161,2030-02-02,2030-12-06,378.2,2245.86,975.08,B5SQ0ZYCM
ORD0000162,2023-11-06,2026-05-04,3660.09,4579.69,4247.08,W6TK9LSG4IQ9LVFOWOT0
ORD0000163,2028-11-02,2029-11-17,4445.53,4590.0,4488.01,4DE4M6HY
ORD0000164,2025-12-10,2026-03-30,1561.94,4555.97,2013.38,V03JULF5VLU
ORD0000165,2027-02-11,2029-08-24,384.27,1646.8,1345.3,K5FI11Z14Y
ORD0000166,2020-01-20,2022-04-15,284.85,3730.02,3558.0,7MBAPOWTIGY6TKE
ORD0000167,2029-03-28,2030-01-19,324.02,2455.92,1433.22,V1IV5WMKZBOOINB6KHXCY
ORD0000168,2029-10-30,2030-11-28,3237.57,4180.0,3283.36,GBDH02
ORD0000169,2024-04-06,2027-02-05,705.62,2742.86,1017.58,AT0G7RI0G6HSHG5MMQ7MW0SKC95
ORD0000170,2030-03-17,2030-11-18,1117.7,2401.2,1121.21,FH5JF6EGQO3SQ3DGLCSXU1HGCA
ORD0000171,2029-07-21,2030-01-11,778.13,2165.69,2019.34,RFXVLHZZ3RY40KHIDKG042LY
ORD0000172,2028-09-26,2028-10-25,1857.13,4568.09,4242.64,I45H02CEQUA7OV77G1P4WYJ9DAK6
ORD0000173,2029-07-08,2030-11-27,2399.52,4660.42,2568.78,UPVRD6O9YZPF322F52UH
ORD0000174,2030-12-30,2030-12-30,2537.13,2789.93,2641.37,9AFT69N3VXDO3V94X2HGOA
ORD0000175,2023-10-30,2030-12-07,1840.18,4887.62,2729.98,XGCK5I0GQMMHZN3MVG0CH
ORD0000176,2028-08-28,2029-12-09,4469.6,4818.85,4803.55,5A7D9146L
ORD0000177,2027-10-04,2028-06-22,2934.92,3148.77,3075.53,U6Y0PRZVS2II06T9U9NMNSWI
ORD0000178,2027-12-19,2028-12-17,3285.42,4149.39,3885.28,HW9408S1A7GBYJD
ORD0000179,2027-07-08,2029-01-04,377.36,3845.2,935.46,QJDSN8CW2G9O9Y
ORD0000180,2022-08-31,2030-06-21,2603.52,3292.84,3061.57,Y0U9DAQM2OX8MMS2L
ORD0000181,2027-08-28,2028-08-17,464.9,3798.56,862.79,1R9QIK
ORD0000182,2026-07-20,2026-07-31,4245.47,4494.89,4422.48,CJUDT59WE
ORD0000183,2028-10-16,2030-04-07,3567.64,3882.7,3625.57,6K088ZF
ORD0000184,2023-12-02,2026-04-23,1183.87,3715.24,2021.92,N749AHW2PPCUYH
ORD0000185,2024-04-29,2027-07-01,1357.29,1447.29,1403.81,X6625CSMU6FGK88AENN1GN81EJB3V
ORD0000186,2020-06-04,2021-01-12,528.85,1324.68,729.33,OQ0Y2Z1
ORD0000187,2023-07-19,2024-11-14,182.77,2759.19,1835.34,ECEW6GSTFS2YZB4K8OIZ8SJT
ORD0000188,2027-08-06,2029-09-08,4446.19,4976.4,4452.1,JHCAZ89FTNWN06JKLOQMHL
ORD0000189,2027-07-11,2027-10-30,4018.33,4854.11,4797.59,39ESEQGM5VWIPGSEMU52VT
ORD0000190,2027-10-11,2030-12-12,2962.43,4117.45,3895.34,KAUPO1RXIV432WT59G
ORD0000191,2021-12-20,2022-11-20,3263.2,4725.23,4518.67,8MQEEB6BZ
ORD0000192,2028-08-16,2028-09-22,2991.18,4099.23,3593.37,4JXZOSI366FZX6APK6I2KL
ORD0000193,2026-05-08,2030-01-17,4748.69,4967.88,4780.74,4WCO5OEQXOCN7XY43CCUG7RQ8LYY
ORD0000194,2024-02-05,2024-12-19,2979.63,4023.48,3372.46,7ZWW54A6I2KO
ORD0000195,2020-11-11,2024-01-05,2621.25,3124.4,2715.29,HO0VH444NK0BPCIK
ORD0000196,2021-07-05,2021-12-12,3184.75,4801.77,3422.23,QL7ZBSFN24
ORD0000197,2029-09-22,2030-01-12,2460.18,4569.15,3727.33,L6QKV3EOYYIGBM760JGL4C86HF4I8A
ORD0000198,2030-01-21,2030-12-19,4694.9,4826.55,4750.28,71O4YW
ORD0000199,2026-08-09,2030-11-15,4042.64,4844.13,4504.4,IQ4OFS80QMAA7H7AYN
ORD0000200,2027-09-18,2030-01-02,4041.01,4388.42,4094.78,QQ81XRZN0994LX994QTWZIHO2
ORD0000201,2028-10-12,2029-03-26,3526.63,3674.38,3601.74,V9DKYAFJ41FEQOXFCYZ7SDL52AM7SM
ORD0000202,2020-05-17,2026-02-06,3941.4,4487.44,4067.9,CXPAKFRZWZ
ORD0000203,2024-07-18,2030-05-08,2971.79,3002.96,2993.72,9S9WWRO
ORD0000204,2026-10-19,2029-05-07,4818.98,4987.28,4915.74,L06G9E6SVH6Q8
ORD0000205,2029-02-12,2029-10-26,3987.61,4690.4,4666.54,4PV33B4HQEYOOU0W78AQPSF
ORD0000206,2024-06-22,2028-04-22,3401.12,3522.68,3514.34,UWNRLM5MPPQNOMPWJGHF
ORD0000207,2027-07-31,2030-05-04,4783.32,4916.32,4884.96,C4XU5R5L6RZOID7148C6WZ
ORD0000208,2029-08-25,2029-11-22,3463.06,4165.74,3547.64,3UAANYGUXQL9QPR4VXL51
ORD0000209,2022-05-12,2030-10-17,2153.56,3213.32,3058.94,2LIOGRP91YMJJ
ORD0000210,2025-04-21,2027-04-14,4047.77,4449.15,4101.74,78U5TQ9DZGKDNQ4G2VQXX99QW
ORD0000211,2020-03-22,2024-02-28,2117.63,4617.71,4525.5,8LSWU652FYS
ORD0000212,2025-03-14,2026-10-28,3195.39,4762.26,4199.1,0ZEFKVOUUSRZR2X
ORD0000213,2028-05-21,2029-08-25,2975.91,3813.86,3130.0,IPQFN
ORD0000214,2021-11-14,2022-12-10,2045.52,2233.99,2211.13,DBZ7FGQJFYTOPS2II7KBCW
ORD0000215,2029-08-25,2030-11-10,4584.83,4782.52,4777.57,R92I8L3178TW48OF2TX0QJ
ORD0000216,2023-05-28,2029-04-09,151.72,4104.91,3503.81,S48A54TA1SOA9XM0
ORD0000217,2029-11-22,2030-06-12,2846.72,3384.82,3231.43,YYOQF1P7RS8R0MELISH32R5MU
ORD0000218,2020-03-20,2026-03-20,845.53,937.47,934.93,RI2AOFJA5NV0T5
ORD0000219,2024-03-01,2024-07-08,2372.05,3239.93,3104.15,DRZE84LMQ
ORD0000220,2029-03-01,2029-03-13,1969.73,2339.31,2253.62,Y2PCM3G7N4YT
ORD0000221,2030-07-01,2030-12-09,1683.01,4098.57,3481.94,7HQ4TMXDNHP1UAKRHZPAC4
ORD0000222,2027-09-20,2029-10-19,3021.44,4546.51,3400.76,FVDDWJ8GI5OU9W2MBYWI
ORD0000223,2022-10-23,2028-04-01,4503.45,4854.33,4699.6,5ML8WU3R9KE7J2SQ8X3A6Y
ORD0000224,2028-03-24,2028-04-12,1009.12,3482.41,1909.58,PUE8YM759JSU0UHG7ECILCMG
ORD0000225,2025-06-11,2025-08-15,1038.92,3300.74,2930.48,57QDXOEAN5F3DX90XDR7CETEN7
ORD0000226,2021-02-01,2023-09-05,596.0,2937.44,1039.61,PL990GW31GKL9Z6VK82WU
ORD0000227,2026-03-03,2027-12-27,4958.17,4993.51,4972.74,1UP8NY9QX22ZACSB7ITATONUB
ORD0000228,2028-08-26,2030-08-02,4127.51,4844.99,4786.95,9JGC3WJIQXPOQTFZNEU4L
ORD0000229,2025-06-22,2029-05-04,4145.96,4746.22,4637.88,TCYFDVW1
ORD0000230,2024-09-02,2026-01-08,4658.21,4955.49,4725.61,AYDT7CU8JU6OJDZ26FO1SZJIV
ORD0000231,2020-12-04,2029-04-13,2431.69,2558.34,2482.25,Z61II49
ORD0000232,2022-03-22,2029-07-14,2490.52,3924.26,3295.09,7PPER1UFH01XWMUWBTKW2J2COMXJ
ORD0000233,2028-06-30,2028-09-25,3669.59,3819.09,3677.74,JSAVHT24BVN8NN87Q94JBY7C
ORD0000234,2022-11-12,2026-01-18,934.57,1750.49,1502.88,D3AEYRXGBSYOY
ORD0000235,2025-09-13,2026-04-04,4885.4,4988.98,4935.6,8FLM639BCP7TV5ZKBWWWTP6R
ORD0000236,2029-02-07,2029-10-28,403.85,4442.38,3999.77,9ROJV
ORD0000237,2030-01-22,2030-04-02,2024.95,2286.14,2124.78,O0PJ1TV28INI8MIT7I1JKUE98H
ORD0000238,2022-01-24,2023-09-12,1656.23,4087.42,3517.15,0T2RJMGILBROOOBWF4
ORD0000239,2021-07-03,2028-04-13,2561.39,3704.52,3303.93,Y54IKMOC0A
ORD0000240,2030-05-18,2030-08-31,1422.31,2218.54,1956.85,NEL25U3P1ZC
ORD0000241,2026-10-26,2028-12-13,3703.13,4637.14,4071.27,87C7G23CP78ZC9Y7DMS2ZTS3K1SD
ORD0000242,2027-09-27,2028-07-14,2633.15,3730.37,3342.07,6HL8IZ0
ORD0000243,2023-08-17,2025-08-18,2309.34,3530.04,3403.84,3FQUKHFH2XF
ORD0000244,2025-11-15,2029-12-12,3565.67,4700.32,4146.23,Y9YCKVJKJL
ORD0000245,2028-08-16,2029-10-19,3589.03,4023.7,3906.41,SLHIMAQA3558A5PN430
ORD0000246,2024-12-14,2025-01-09,489.08,1592.96,1093.28,9NDLJDWCJCTVFDG0LKS9L3XC
ORD0000247,2021-01-16,2024-08-30,3865.71,4283.77,4024.13,19ES4IH
ORD0000248,2027-10-16,2029-08-20,4311.1,4674.19,4501.59,NDG7F4S1UQ7WI5755LOSMAHB3HN
ORD0000249,2028-12-19,2030-02-16,3115.01,3895.47,3375.52,NAMSQETT69UAHVVZBLMVV4
ORD0000250,2030-04-10,2030-04-28,2425.05,4087.57,3225.55,38V30D7TU98BNVWEJRBVY8KYL
ORD0000251,2026-09-03,2030-11-20,672.54,2006.62,1816.94,CR0F5PX2TN7TLHXCMF26B46JMV4
ORD0000252,2028-03-19,2029-01-30,4382.01,4861.28,4450.69,7INC3Y7H
ORD0000253,2020-01-17,2020-07-15,1623.81,3943.43,3002.33,V3CG7TB
ORD0000254,2026-06-23,2030-01-21,3816.62,4872.36,4155.39,SR8U2HRJKRH
ORD0000255,2020-03-03,2026-06-12,4795.66,4900.7,4817.36,9URJSPKETV82DIB4
ORD0000256,2030-02-16,2030-04-11,3409.93,4019.88,3462.46,L2WTVM8F3IF3G3T34
ORD0000257,2022-08-07,2024-03-17,4742.5,4964.23,4879.29,ZLVU35BE4HW43KSW
ORD0000258,2026-10-11,2029-08-16,2915.92,3130.44,3091.3,GU9ET83Z0PP9K4YEVN11V8PLE5H3U9
ORD0000259,2021-02-03,2023-01-25,4127.91,4396.54,4236.92,GYU5DFNIAJJ28SY2MNUTT1WF
ORD0000260,2026-07-14,2029-05-24,139.78,2104.27,390.36,DX9DA9WHSBP1ZU
ORD0000261,2027-12-25,2030-02-13,1975.67,3291.83,2253.66,4IM9YX0JSI
