ORDER_ID,CUSTOMER_ID,BILL_TO_CUSTOMER_ID,AMOUNT
ORD0000054,CUS0000029,CUS0000041,1762.58
ORD0000055,CUS0000087,,4322.2
ORD0000056,CUS0000093,CUS0000053,1318.42
ORD0000057,CUS0000087,CUS0000029,1032.02
ORD0000058,CUS0000051,,2298.21
ORD0000059,CUS0000072,CUS0000071,2167.22
ORD0000060,CUS0000047,,1464.87
ORD0000061,CUS0000012,CUS0000054,1324.05
ORD0000062,CUS0000051,CUS0000026,4624.0
ORD0000063,CUS0000002,CUS0000049,2271.34
ORD0000064,CUS0000034,CUS0000032,4320.61
ORD0000065,CUS0000069,CUS0000084,2796.59
ORD0000066,CUS0000016,,347.88
ORD0000067,CUS0000059,CUS0000098,4996.48
ORD0000068,CUS0000048,,4196.54
ORD0000069,CUS0000087,,4848.08
ORD0000070,CUS0000096,,4639.2
ORD0000071,CUS0000087,CUS0000022,4258.61
ORD0000072,CUS0000034,,914.92
ORD0000073,CUS0000075,CUS0000018,2479.64
ORD0000074,CUS0000049,,1147.36
ORD0000075,CUS0000082,CUS0000070,2065.1
ORD0000076,CUS0000048,,387.31
ORD0000077,CUS0000014,,1956.97
ORD0000078,CUS0000087,CUS0000010,4928.01
ORD0000079,CUS0000030,,1399.49
ORD0000080,CUS0000061,,3941.95
ORD0000081,CUS0000004,,2329.54
ORD0000082,CUS0000080,CUS0000081,2172.74
ORD0000083,CUS0000072,CUS0000091,4790.86
ORD0000084,CUS0000042,CUS0000028,4977.57
ORD0000085,CUS0000079,CUS0000048,2823.26
ORD0000086,CUS0000029,CUS0000082,3620.2
ORD0000087,CUS0000083,,858.5
ORD0000088,CUS0000009,,1553.87
ORD0000089,CUS0000082,CUS0000063,4846.68
ORD0000090,CUS0000060,CUS0000069,2937.98
ORD0000091,CUS0000090,CUS0000002,2756.76
ORD0000092,CUS0000039,CUS0000093,3765.08
ORD0000093,CUS0000084,CUS0000037,380.11
ORD0000094,CUS0000053,CUS0000090,2962.47
ORD0000095,CUS0000015,,2563.97
ORD0000096,CUS0000018,,4278.33
ORD0000097,CUS0000006,,871.42
ORD0000098,CUS0000005,CUS0000013,4807.82
ORD0000099,CUS0000039,CUS0000031,492.55
ORD0000100,CUS0000064,CUS0000068,1010.54
ORD0000101,CUS0000015,CUS0000046,3015.67
ORD0000102,CUS0000013,CUS0000051,3408.54
ORD0000103,CUS0000031,CUS0000052,1252.5
ORD0000104,CUS0000069,CUS0000032,687.44
ORD0000105,CUS0000018,,4462.41
ORD0000106,CUS0000050,CUS0000088,1306.46
ORD0000107,CUS0000059,,3013.14
ORD0000108,CUS0000048,CUS0000084,3134.97
ORD0000109,CUS0000086,,2154.2
ORD0000110,CUS0000096,CUS0000049,2959.99
ORD0000111,CUS0000090,CUS0000061,2661.64
ORD0000112,CUS0000070,CUS0000002,4680.06
ORD0000113,CUS0000054,,1100.87
ORD0000114,CUS0000076,CUS0000056,3609.34
ORD0000115,CUS0000096,,1269.56
ORD0000116,CUS0000094,CUS0000013,2039.35
ORD0000117,CUS0000020,,3391.28
ORD0000118,CUS0000054,,1569.99
ORD0000119,CUS0000084,CUS0000089,1649.27
ORD0000120,CUS0000013,,3784.14
ORD0000121,CUS0000063,CUS0000006,455.46
ORD0000122,CUS0000079,,2345.6
ORD0000123,CUS0000053,,4992.43
ORD0000124,CUS0000036,CUS0000070,4980.87
ORD0000125,CUS0000005,CUS0000005,458.98
ORD0000126,CUS0000089,CUS0000041,1144.46
ORD0000127,CUS0000048,CUS0000027,1399.48
ORD0000128,CUS0000028,CUS0000097,4672.97
ORD0000129,CUS0000057,,4416.23
ORD0000130,CUS0000057,,4408.42
ORD0000131,CUS0000031,,1910.68
ORD0000132,CUS0000047,CUS0000073,872.96
ORD0000133,CUS0000013,CUS0000050,4185.35
ORD0000134,CUS0000088,,3547.35
ORD0000135,CUS0000048,CUS0000050,3097.22
ORD0000136,CUS0000070,,4937.44
ORD0000137,CUS0000083,CUS0000089,3304.48
ORD0000138,CUS0000046,,138.33
ORD0000139,CUS0000008,CUS0000045,4103.81
ORD0000140,CUS0000051,CUS0000056,1566.96
ORD0000141,CUS0000036,CUS0000010,3350.6
ORD0000142,CUS0000025,CUS0000099,4700.76
ORD0000143,CUS0000016,,758.03
ORD0000144,CUS0000059,CUS0000100,665.6
ORD0000145,CUS0000012,CUS0000082,624.48
ORD0000146,CUS0000085,CUS0000058,2810.8
ORD0000147,CUS0000028,CUS0000046,1434.51
ORD0000148,CUS0000083,CUS0000049,3063.67
ORD0000149,CUS0000082,CUS0000088,3616.3
ORD0000150,CUS0000077,CUS0000049,1097.63
ORD0000151,CUS0000003,CUS0000080,3207.77
ORD0000152,CUS0000007,CUS0000032,1393.52
ORD0000153,CUS0000043,,2493.81
ORD0000154,CUS0000032,CUS0000020,4536.15
ORD0000155,CUS0000017,CUS0000082,4245.91
ORD0000156,CUS0000073,CUS0000050,552.26
ORD0000157,CUS0000027,CUS0000014,2175.52
ORD0000158,CUS0000009,CUS0000040,1455.73
ORD0000159,CUS0000098,CUS0000098,117.37
ORD0000160,CUS0000071,CUS0000017,3878.48
ORD0000161,CUS0000027,CUS0000056,3221.86
ORD0000162,CUS0000076,CUS0000072,1383.58
ORD0000163,CUS0000028,CUS0000014,3732.03
ORD0000164,CUS0000030,CUS0000046,2803.23
ORD0000165,CUS0000043,CUS0000077,2195.67
ORD0000166,CUS0000100,CUS0000042,147.38
ORD0000167,CUS0000019,,468.69
ORD0000168,CUS0000077,CUS0000053,4427.22
ORD0000169,CUS0000001,CUS0000011,4529.25
ORD0000170,CUS0000036,,2773.39
ORD0000171,CUS0000019,CUS0000032,4189.52
ORD0000172,CUS0000017,CUS0000022,2954.3
ORD0000173,CUS0000070,,825.66
ORD0000174,CUS0000033,CUS0000035,724.48
ORD0000175,CUS0000023,CUS0000064,1610.47
ORD0000176,CUS0000015,CUS0000022,4505.01
ORD0000177,CUS0000085,CUS0000054,4001.0
ORD0000178,CUS0000004,CUS0000010,4317.44
ORD0000179,CUS0000017,CUS0000032,4504.73
ORD0000180,CUS0000002,,1129.38
ORD0000181,CUS0000046,CUS0000079,1322.7
ORD0000182,CUS0000031,CUS0000014,603.69
ORD0000183,CUS0000076,CUS0000001,3922.57
ORD0000184,CUS0000042,,4432.26
ORD0000185,CUS0000003,CUS0000080,2091.25
ORD0000186,CUS0000023,CUS0000043,3141.24
ORD0000187,CUS0000034,CUS0000056,857.31
ORD0000188,CUS0000007,,4656.42
ORD0000189,CUS0000017,,4336.57
ORD0000190,CUS0000095,,4883.41
ORD0000191,CUS0000054,CUS0000042,4072.78
ORD0000192,CUS0000068,,4418.94
ORD0000193,CUS0000015,,221.45
ORD0000194,CUS0000096,CUS0000023,3709.17
ORD0000195,CUS0000009,,1727.71
ORD0000196,CUS0000061,,4661.0
ORD0000197,CUS0000058,CUS0000089,4030.95
ORD0000198,CUS0000100,,4333.91
ORD0000199,CUS0000047,,4072.67
ORD0000200,CUS0000066,,1407.35
ORD0000201,CUS0000076,CUS0000036,3958.14
ORD0000202,CUS0000014,,629.67
ORD0000203,CUS0000058,CUS0000015,4373.62
ORD0000204,CUS0000065,,4307.11
ORD0000205,CUS0000029,CUS0000070,1189.93
ORD0000206,CUS0000079,CUS0000099,4101.27
ORD0000207,CUS0000006,CUS0000094,2355.49
ORD0000208,CUS0000094,CUS0000091,1595.44
ORD0000209,CUS0000085,CUS0000038,3997.19
ORD0000210,CUS0000067,,1215.22
ORD0000211,CUS0000039,CUS0000053,215.96
ORD0000212,CUS0000059,,1046.34
ORD0000213,CUS0000083,CUS0000039,1708.48
ORD0000214,CUS0000004,CUS0000085,4335.33
ORD0000215,CUS0000008,CUS0000055,4837.76
ORD0000216,CUS0000062,,1467.71
ORD0000217,CUS0000052,CUS0000077,3243.26
ORD0000218,CUS0000055,CUS0000052,2058.42
ORD0000219,CUS0000088,CUS0000089,4907.63
ORD0000220,CUS0000014,CUS0000005,2727.46
ORD0000221,CUS0000063,,4702.26
ORD0000222,CUS0000092,CUS0000069,665.17
ORD0000223,CUS0000057,CUS0000011,4854.96
ORD0000224,CUS0000010,CUS0000032,974.98
ORD0000225,CUS0000011,,4816.42
ORD0000226,CUS0000042,CUS0000083,1400.79
ORD0000227,CUS0000078,,631.17
ORD0000228,CUS0000019,CUS0000083,2229.36
ORD0000229,CUS0000009,,3669.87
ORD0000230,CUS0000017,CUS0000097,1637.02
ORD0000231,CUS0000036,CUS0000056,3070.42
ORD0000232,CUS0000080,CUS0000013,2605.97
ORD0000233,CUS0000082,CUS0000066,1987.46
ORD0000234,CUS0000075,,2925.28
ORD0000235,CUS0000071,CUS0000089,1348.14
ORD0000236,CUS0000092,CUS0000058,3573.05
ORD0000237,CUS0000042,CUS0000060,108.29
ORD0000238,CUS0000049,,4635.32
ORD0000239,CUS0000077,CUS0000065,2738.41
ORD0000240,CUS0000068,CUS0000004,3625.21
ORD0000241,CUS0000038,CUS0000038,3735.56
ORD0000242,CUS0000059,CUS0000011,3386.08
ORD0000243,CUS0000065,CUS0000094,1884.69
ORD0000244,CUS0000078,CUS0000040,442.87
ORD0000245,CUS0000056,CUS0000027,3354.76
ORD0000246,CUS0000013,CUS0000045,1717.98
ORD0000247,CUS0000090,CUS0000057,1638.19
ORD0000248,CUS0000015,,4255.27
ORD0000249,CUS0000084,CUS0000009,3626.8
ORD0000250,CUS0000084,CUS0000091,1571.58
ORD0000251,CUS0000099,CUS0000044,1615.49
ORD0000252,CUS0000071,,2101.13
ORD0000253,CUS0000093,,2071.76
ORD0000254,CUS0000028,CUS0000095,1548.71
ORD0000255,CUS0000056,CUS0000023,723.71
ORD0000256,CUS0000058,CUS0000043,2160.19
ORD0000257,CUS0000030,CUS0000060,4707.78
ORD0000258,CUS0000053,CUS0000052,3418.86
ORD0000259,CUS0000044,,4523.75
ORD0000260,CUS0000059,CUS0000085,3116.02
ORD0000261,CUS0000052,CUS0000004,1574.65
ORD0000262,CUS0000054,,2784.89
ORD0000263,CUS0000094,,101.99
ORD0000264,CUS0000013,CUS0000055,1505.88
ORD0000265,CUS0000041,CUS0000091,2206.45
ORD0000266,CUS0000055,CUS0000036,2941.93
ORD0000267,CUS0000041,,3308.06
ORD0000268,CUS0000086,,2378.44
ORD0000269,CUS0000033,CUS0000014,2266.58
ORD0000270,CUS0000048,,1147.14
ORD0000271,CUS0000020,CUS0000047,2418.61
ORD0000272,CUS0000088,CUS0000059,4515.79
ORD0000273,CUS0000061,CUS0000086,4000.52
ORD0000274,CUS0000009,,931.49
ORD0000275,CUS0000012,CUS0000082,515.5
ORD0000276,CUS0000011,CUS0000050,2625.71
ORD0000277,CUS0000012,,3201.41
ORD0000278,CUS0000056,CUS0000045,1742.42
ORD0000279,CUS0000013,CUS0000059,4110.27
ORD0000280,CUS0000096,,3780.58
ORD0000281,CUS0000095,,3396.7
ORD0000282,CUS0000048,,1200.74
ORD0000283,CUS0000017,CUS0000079,1075.74
ORD0000284,CUS0000072,CUS0000087,219.68
ORD0000285,CUS0000008,CUS0000016,1299.73
ORD0000286,CUS0000076,CUS0000015,2428.17
ORD0000287,CUS0000072,CUS0000089,4263.71
ORD0000288,CUS0000072,CUS0000050,456.86
ORD0000289,CUS0000043,CUS0000018,2130.76
ORD0000290,CUS0000086,CUS0000055,3185.85
ORD0000291,CUS0000016,CUS0000082,1052.73
ORD0000292,CUS0000053,CUS0000083,3512.14
ORD0000293,CUS0000046,,2522.45
ORD0000294,CUS0000086,CUS0000022,1295.52
ORD0000295,CUS0000097,CUS0000018,3314.68
ORD0000296,CUS0000055,CUS0000058,127.17
ORD0000297,CUS0000093,,3779.73
ORD0000298,CUS0000007,,3873.23
ORD0000299,CUS0000037,,622.28
ORD0000300,CUS0000077,CUS0000025,2183.22
