ORDER_ITEM_ID,ORDER_ID,PRODUCT_ID,QUANTITY
ITM0000090,ORD0000195,PRD0000024,3
ITM0000091,ORD0000273,PRD0000049,14
ITM0000092,ORD0000118,PRD0000026,5
ITM0000093,ORD0000257,PRD0000024,15
ITM0000094,ORD0000287,PRD0000003,6
ITM0000095,ORD0000182,PRD0000026,2
ITM0000096,ORD0000037,PRD0000004,9
ITM0000097,ORD0000204,PRD0000037,13
ITM0000098,ORD0000022,PRD0000036,11
ITM0000099,ORD0000224,PRD0000013,7
ITM0000100,ORD0000010,PRD0000024,15
ITM0000101,ORD0000236,PRD0000036,11
ITM0000102,ORD0000040,PRD0000019,11
ITM0000103,ORD0000161,PRD0000005,13
ITM0000104,ORD0000295,PRD0000025,9
ITM0000105,ORD0000220,PRD0000033,14
ITM0000106,ORD0000294,PRD0000029,9
ITM0000107,ORD0000208,PRD0000049,3
ITM0000108,ORD0000214,PRD0000036,16
ITM0000109,ORD0000149,PRD0000018,1
ITM0000110,ORD0000059,PRD0000040,18
ITM0000111,ORD0000208,PRD0000044,2
ITM0000112,ORD0000011,PRD0000040,12
ITM0000113,ORD0000167,PRD0000008,8
ITM0000114,ORD0000088,PRD0000009,3
ITM0000115,ORD0000236,PRD0000007,2
ITM0000116,ORD0000186,PRD0000026,1
ITM0000117,ORD0000046,PRD0000024,8
ITM0000118,ORD0000224,PRD0000022,7
ITM0000119,ORD0000055,PRD0000036,1
ITM0000120,ORD0000125,PRD0000024,20
ITM0000121,ORD0000224,PRD0000049,5
ITM0000122,ORD0000206,PRD0000010,8
ITM0000123,ORD0000269,PRD0000013,5
ITM0000124,ORD0000041,PRD0000039,16
ITM0000125,ORD0000203,PRD0000033,4
ITM0000126,ORD0000159,PRD0000026,19
ITM0000127,ORD0000174,PRD0000033,7
ITM0000128,ORD0000114,PRD0000003,15
ITM0000129,ORD0000171,PRD0000003,9
ITM0000130,ORD0000087,PRD0000003,12
ITM0000131,ORD0000040,PRD0000009,6
ITM0000132,ORD0000262,PRD0000046,20
ITM0000133,ORD0000059,PRD0000022,20
ITM0000134,ORD0000272,PRD0000031,4
ITM0000135,ORD0000262,PRD0000034,6
ITM0000136,ORD0000100,PRD0000030,10
ITM0000137,ORD0000179,PRD0000010,4
ITM0000138,ORD0000180,PRD0000039,19
ITM0000139,ORD0000076,PRD0000033,1
ITM0000140,ORD0000121,PRD0000009,10
ITM0000141,ORD0000053,PRD0000021,19
ITM0000142,ORD0000075,PRD0000040,13
ITM0000143,ORD0000132,PRD0000021,13
ITM0000144,ORD0000102,PRD0000011,7
ITM0000145,ORD0000089,PRD0000026,3
ITM0000146,ORD0000079,PRD0000040,19
ITM0000147,ORD0000039,PRD0000048,8
ITM0000148,ORD0000091,PRD0000020,4
ITM0000149,ORD0000253,PRD0000038,10
ITM0000150,ORD0000238,PRD0000022,20
ITM0000151,ORD0000289,PRD0000033,4
ITM0000152,ORD0000297,PRD0000033,19
ITM0000153,ORD0000230,PRD0000035,2
ITM0000154,ORD0000290,PRD0000032,12
ITM0000155,ORD0000166,PRD0000046,18
ITM0000156,ORD0000162,PRD0000037,14
ITM0000157,ORD0000078,PRD0000020,12
ITM0000158,ORD0000226,PRD0000031,3
ITM0000159,ORD0000035,PRD0000002,17
ITM0000160,ORD0000241,PRD0000024,11
ITM0000161,ORD0000227,PRD0000022,1
ITM0000162,ORD0000156,PRD0000044,14
ITM0000163,ORD0000141,PRD0000008,16
ITM0000164,ORD0000029,PRD0000027,4
ITM0000165,ORD0000181,PRD0000038,14
ITM0000166,ORD0000260,PRD0000020,12
ITM0000167,ORD0000038,PRD0000047,15
ITM0000168,ORD0000159,PRD0000045,5
ITM0000169,ORD0000237,PRD0000041,14
ITM0000170,ORD0000232,PRD0000002,6
ITM0000171,ORD0000020,PRD0000039,17
ITM0000172,ORD0000030,PRD0000031,9
ITM0000173,ORD0000189,PRD0000017,20
ITM0000174,ORD0000147,PRD0000042,18
ITM0000175,ORD0000040,PRD0000050,16
ITM0000176,ORD0000047,PRD0000038,15
ITM0000177,ORD0000260,PRD0000037,14
ITM0000178,ORD0000197,PRD0000015,19
ITM0000179,ORD0000237,PRD0000047,9
ITM0000180,ORD0000298,PRD0000004,11
ITM0000181,ORD0000284,PRD0000038,8
ITM0000182,ORD0000022,PRD0000031,3
ITM0000183,ORD0000231,PRD0000011,9
ITM0000184,ORD0000293,PRD0000034,15
ITM0000185,ORD0000097,PRD0000041,8
ITM0000186,ORD0000165,PRD0000047,15
ITM0000187,ORD0000244,PRD0000040,19
ITM0000188,ORD0000257,PRD0000050,20
ITM0000189,ORD0000078,PRD0000025,13
ITM0000190,ORD0000032,PRD0000010,11
ITM0000191,ORD0000231,PRD0000044,1
ITM0000192,ORD0000053,PRD0000016,16
ITM0000193,ORD0000176,PRD0000003,11
ITM0000194,ORD0000044,PRD0000037,6
ITM0000195,ORD0000259,PRD0000045,16
ITM0000196,ORD0000089,PRD0000008,7
ITM0000197,ORD0000021,PRD0000013,12
ITM0000198,ORD0000127,PRD0000002,9
ITM0000199,ORD0000225,PRD0000029,11
ITM0000200,ORD0000225,PRD0000021,9
ITM0000201,ORD0000269,PRD0000027,20
ITM0000202,ORD0000268,PRD0000010,9
ITM0000203,ORD0000082,PRD0000027,18
ITM0000204,ORD0000187,PRD0000045,1
ITM0000205,ORD0000191,PRD0000014,17
ITM0000206,ORD0000145,PRD0000027,7
ITM0000207,ORD0000199,PRD0000033,3
ITM0000208,ORD0000210,PRD0000050,8
ITM0000209,ORD0000174,PRD0000040,14
ITM0000210,ORD0000027,PRD0000031,16
ITM0000211,ORD0000172,PRD0000048,18
ITM0000212,ORD0000034,PRD0000047,8
ITM0000213,ORD0000169,PRD0000004,16
ITM0000214,ORD0000049,PRD0000046,16
ITM0000215,ORD0000286,PRD0000009,15
ITM0000216,ORD0000198,PRD0000034,1
ITM0000217,ORD0000146,PRD0000014,3
ITM0000218,ORD0000130,PRD0000036,10
ITM0000219,ORD0000077,PRD0000021,8
ITM0000220,ORD0000171,PRD0000043,13
ITM0000221,ORD0000042,PRD0000031,8
ITM0000222,ORD0000299,PRD0000034,10
ITM0000223,ORD0000073,PRD0000025,19
ITM0000224,ORD0000180,PRD0000021,12
ITM0000225,ORD0000159,PRD0000012,16
ITM0000226,ORD0000201,PRD0000030,18
ITM0000227,ORD0000067,PRD0000035,17
ITM0000228,ORD0000044,PRD0000022,12
ITM0000229,ORD0000159,PRD0000035,14
ITM0000230,ORD0000287,PRD0000023,18
ITM0000231,ORD0000193,PRD0000044,11
ITM0000232,ORD0000169,PRD0000050,12
ITM0000233,ORD0000066,PRD0000047,15
ITM0000234,ORD0000270,PRD0000044,9
ITM0000235,ORD0000048,PRD0000042,10
ITM0000236,ORD0000217,PRD0000045,9
ITM0000237,ORD0000261,PRD0000017,8
ITM0000238,ORD0000186,PRD0000040,4
ITM0000239,ORD0000010,PRD0000031,7
ITM0000240,ORD0000186,PRD0000013,11
ITM0000241,ORD0000159,PRD0000016,4
ITM0000242,ORD0000093,PRD0000018,18
ITM0000243,ORD0000110,PRD0000036,6
ITM0000244,ORD0000175,PRD0000020,7
ITM0000245,ORD0000249,PRD0000015,7
ITM0000246,ORD0000099,PRD0000020,16
ITM0000247,ORD0000116,PRD0000050,9
ITM0000248,ORD0000071,PRD0000019,19
ITM0000249,ORD0000080,PRD0000046,17
ITM0000250,ORD0000040,PRD0000014,20
ITM0000251,ORD0000152,PRD0000045,10
ITM0000252,ORD0000052,PRD0000046,4
ITM0000253,ORD0000260,PRD0000032,7
ITM0000254,ORD0000277,PRD0000021,10
ITM0000255,ORD0000270,PRD0000031,8
ITM0000256,ORD0000020,PRD0000023,12
ITM0000257,ORD0000173,PRD0000036,6
ITM0000258,ORD0000068,PRD0000047,10
ITM0000259,ORD0000193,PRD0000018,1
ITM0000260,ORD0000079,PRD0000019,18
ITM0000261,ORD0000084,PRD0000008,5
ITM0000262,ORD0000093,PRD0000037,9
ITM0000263,ORD0000085,PRD0000044,2
ITM0000264,ORD0000225,PRD0000035,2
ITM0000265,ORD0000023,PRD0000025,18
ITM0000266,ORD0000211,PRD0000026,10
ITM0000267,ORD0000187,PRD0000023,5
ITM0000268,ORD0000122,PRD0000050,16
ITM0000269,ORD0000228,PRD0000010,4
ITM0000270,ORD0000146,PRD0000019,1
ITM0000271,ORD0000230,PRD0000003,19
ITM0000272,ORD0000120,PRD0000019,10
ITM0000273,ORD0000274,PRD0000046,16
ITM0000274,ORD0000123,PRD0000006,16
ITM0000275,ORD0000159,PRD0000023,15
ITM0000276,ORD0000241,PRD0000029,11
ITM0000277,ORD0000100,PRD0000042,6
ITM0000278,ORD0000189,PRD0000017,2
ITM0000279,ORD0000293,PRD0000048,9
ITM0000280,ORD0000226,PRD0000031,16
ITM0000281,ORD0000237,PRD0000014,4
ITM0000282,ORD0000145,PRD0000013,3
ITM0000283,ORD0000196,PRD0000035,13
ITM0000284,ORD0000258,PRD0000018,16
ITM0000285,ORD0000271,PRD0000036,3
ITM0000286,ORD0000215,PRD0000045,19
ITM0000287,ORD0000083,PRD0000018,2
ITM0000288,ORD0000103,PRD0000009,5
ITM0000289,ORD0000071,PRD0000007,5
ITM0000290,ORD0000129,PRD0000040,19
ITM0000291,ORD0000027,PRD0000048,10
ITM0000292,ORD0000247,PRD0000038,3
ITM0000293,ORD0000191,PRD0000016,8
ITM0000294,ORD0000284,PRD0000016,4
ITM0000295,ORD0000053,PRD0000004,18
ITM0000296,ORD0000265,PRD0000043,14
ITM0000297,ORD0000064,PRD0000034,20
ITM0000298,ORD0000146,PRD0000015,20
ITM0000299,ORD0000043,PRD0000041,20
ITM0000300,ORD0000083,PRD0000015,8
ITM0000301,ORD0000140,PRD0000004,17
ITM0000302,ORD0000231,PRD0000007,13
ITM0000303,ORD0000263,PRD0000027,15
ITM0000304,ORD0000076,PRD0000022,15
ITM0000305,ORD0000224,PRD0000046,10
ITM0000306,ORD0000047,PRD0000031,19
ITM0000307,ORD0000114,PRD0000007,14
ITM0000308,ORD0000231,PRD0000044,10
ITM0000309,ORD0000179,PRD0000050,19
ITM0000310,ORD0000014,PRD0000009,20
ITM0000311,ORD0000213,PRD0000001,2
ITM0000312,ORD0000028,PRD0000036,20
ITM0000313,ORD0000203,PRD0000011,4
ITM0000314,ORD0000258,PRD0000027,7
ITM0000315,ORD0000192,PRD0000042,7
ITM0000316,ORD0000121,PRD0000031,9
ITM0000317,ORD0000198,PRD0000031,3
ITM0000318,ORD0000042,PRD0000042,6
ITM0000319,ORD0000192,PRD0000013,8
ITM0000320,ORD0000115,PRD0000049,6
ITM0000321,ORD0000015,PRD0000019,18
ITM0000322,ORD0000164,PRD0000021,3
ITM0000323,ORD0000051,PRD0000019,6
ITM0000324,ORD0000172,PRD0000042,1
ITM0000325,ORD0000075,PRD0000004,14
ITM0000326,ORD0000071,PRD0000050,15
ITM0000327,ORD0000020,PRD0000006,20
ITM0000328,ORD0000147,PRD0000042,16
ITM0000329,ORD0000242,PRD0000037,10
ITM0000330,ORD0000072,PRD0000015,2
ITM0000331,ORD0000241,PRD0000035,8
ITM0000332,ORD0000230,PRD0000048,10
ITM0000333,ORD0000003,PRD0000047,10
ITM0000334,ORD0000041,PRD0000003,15
ITM0000335,ORD0000010,PRD0000012,3
ITM0000336,ORD0000132,PRD0000027,8
ITM0000337,ORD0000111,PRD0000012,9
ITM0000338,ORD0000077,PRD0000003,19
ITM0000339,ORD0000281,PRD0000026,7
ITM0000340,ORD0000271,PRD0000032,14
ITM0000341,ORD0000217,PRD0000012,4
ITM0000342,ORD0000057,PRD0000048,18
ITM0000343,ORD0000148,PRD0000019,8
ITM0000344,ORD0000122,PRD0000003,5
ITM0000345,ORD0000155,PRD0000001,9
ITM0000346,ORD0000063,PRD0000020,5
ITM0000347,ORD0000025,PRD0000037,3
ITM0000348,ORD0000123,PRD0000039,2
ITM0000349,ORD0000215,PRD0000007,6
ITM0000350,ORD0000235,PRD0000022,10
ITM0000351,ORD0000033,PRD0000019,20
ITM0000352,ORD0000057,PRD0000030,19
ITM0000353,ORD0000256,PRD0000042,10
ITM0000354,ORD0000275,PRD0000035,15
ITM0000355,ORD0000009,PRD0000034,4
ITM0000356,ORD0000264,PRD0000032,15
ITM0000357,ORD0000295,PRD0000009,10
ITM0000358,ORD0000124,PRD0000033,13
ITM0000359,ORD0000074,PRD0000030,9
ITM0000360,ORD0000150,PRD0000018,17
ITM0000361,ORD0000220,PRD0000013,18
ITM0000362,ORD0000001,PRD0000008,16
ITM0000363,ORD0000181,PRD0000022,15
ITM0000364,ORD0000124,PRD0000011,3
ITM0000365,ORD0000293,PRD0000047,20
ITM0000366,ORD0000214,PRD0000030,2
ITM0000367,ORD0000096,PRD0000042,14
ITM0000368,ORD0000044,PRD0000017,11
ITM0000369,ORD0000269,PRD0000046,20
ITM0000370,ORD0000185,PRD0000012,9
ITM0000371,ORD0000035,PRD0000001,1
ITM0000372,ORD0000270,PRD0000048,3
ITM0000373,ORD0000279,PRD0000022,8
ITM0000374,ORD0000260,PRD0000019,19
ITM0000375,ORD0000260,PRD0000037,19
ITM0000376,ORD0000284,PRD0000044,1
ITM0000377,ORD0000011,PRD0000049,9
ITM0000378,ORD0000200,PRD0000013,19
ITM0000379,ORD0000241,PRD0000012,2
ITM0000380,ORD0000023,PRD0000040,6
ITM0000381,ORD0000199,PRD0000041,16
ITM0000382,ORD0000192,PRD0000026,17
ITM0000383,ORD0000130,PRD0000028,15
ITM0000384,ORD0000009,PRD0000033,9
ITM0000385,ORD0000183,PRD0000021,6
ITM0000386,ORD0000035,PRD0000006,19
ITM0000387,ORD0000177,PRD0000026,14
ITM0000388,ORD0000124,PRD0000043,16
ITM0000389,ORD0000054,PRD0000007,3
ITM0000390,ORD0000298,PRD0000012,16
ITM0000391,ORD0000171,PRD0000009,12
ITM0000392,ORD0000069,PRD0000031,14
ITM0000393,ORD0000023,PRD0000021,11
ITM0000394,ORD0000181,PRD0000016,11
ITM0000395,ORD0000280,PRD0000001,4
ITM0000396,ORD0000174,PRD0000017,6
ITM0000397,ORD0000090,PRD0000025,11
ITM0000398,ORD0000238,PRD0000016,14
ITM0000399,ORD0000246,PRD0000029,16
ITM0000400,ORD0000094,PRD0000049,10
ITM0000401,ORD0000070,PRD0000018,13
ITM0000402,ORD0000033,PRD0000022,18
ITM0000403,ORD0000235,PRD0000020,2
ITM0000404,ORD0000019,PRD0000038,15
ITM0000405,ORD0000151,PRD0000047,3
ITM0000406,ORD0000104,PRD0000037,11
ITM0000407,ORD0000023,PRD0000001,9
ITM0000408,ORD0000103,PRD0000017,11
ITM0000409,ORD0000022,PRD0000042,4
ITM0000410,ORD0000162,PRD0000024,13
ITM0000411,ORD0000159,PRD0000045,17
ITM0000412,ORD0000264,PRD0000016,1
ITM0000413,ORD0000204,PRD0000004,18
ITM0000414,ORD0000279,PRD0000043,15
ITM0000415,ORD0000243,PRD0000008,14
ITM0000416,ORD0000130,PRD0000030,2
ITM0000417,ORD0000019,PRD0000020,7
ITM0000418,ORD0000098,PRD0000011,17
ITM0000419,ORD0000147,PRD0000026,12
ITM0000420,ORD0000183,PRD0000044,20
ITM0000421,ORD0000025,PRD0000033,16
ITM0000422,ORD0000170,PRD0000046,15
ITM0000423,ORD0000140,PRD0000050,2
ITM0000424,ORD0000064,PRD0000020,7
ITM0000425,ORD0000189,PRD0000045,9
ITM0000426,ORD0000224,PRD0000008,18
ITM0000427,ORD0000205,PRD0000041,5
ITM0000428,ORD0000226,PRD0000019,10
ITM0000429,ORD0000198,PRD0000024,15
ITM0000430,ORD0000174,PRD0000040,16
ITM0000431,ORD0000096,PRD0000015,4
ITM0000432,ORD0000255,PRD0000015,1
ITM0000433,ORD0000255,PRD0000009,20
ITM0000434,ORD0000189,PRD0000031,8
ITM0000435,ORD0000266,PRD0000010,6
ITM0000436,ORD0000137,PRD0000030,10
ITM0000437,ORD0000043,PRD0000048,18
ITM0000438,ORD0000218,PRD0000039,1
ITM0000439,ORD0000041,PRD0000024,18
ITM0000440,ORD0000221,PRD0000027,14
ITM0000441,ORD0000093,PRD0000045,3
ITM0000442,ORD0000280,PRD0000036,8
ITM0000443,ORD0000151,PRD0000031,4
ITM0000444,ORD0000165,PRD0000049,15
ITM0000445,ORD0000053,PRD0000035,4
ITM0000446,ORD0000041,PRD0000043,5
ITM0000447,ORD0000168,PRD0000014,16
ITM0000448,ORD0000152,PRD0000049,10
ITM0000449,ORD0000157,PRD0000016,17
ITM0000450,ORD0000229,PRD0000044,9
ITM0000451,ORD0000219,PRD0000049,14
ITM0000452,ORD0000086,PRD0000039,16
ITM0000453,ORD0000228,PRD0000006,16
ITM0000454,ORD0000180,PRD0000034,8
ITM0000455,ORD0000229,PRD0000029,15
ITM0000456,ORD0000022,PRD0000034,18
ITM0000457,ORD0000181,PRD0000046,5
ITM0000458,ORD0000223,PRD0000024,13
ITM0000459,ORD0000141,PRD0000005,7
ITM0000460,ORD0000030,PRD0000037,20
ITM0000461,ORD0000039,PRD0000008,17
ITM0000462,ORD0000208,PRD0000004,5
ITM0000463,ORD0000187,PRD0000036,3
ITM0000464,ORD0000263,PRD0000033,9
ITM0000465,ORD0000082,PRD0000013,14
ITM0000466,ORD0000016,PRD0000037,11
ITM0000467,ORD0000074,PRD0000035,17
ITM0000468,ORD0000225,PRD0000010,9
ITM0000469,ORD0000018,PRD0000011,1
ITM0000470,ORD0000065,PRD0000021,10
ITM0000471,ORD0000035,PRD0000034,10
ITM0000472,ORD0000121,PRD0000029,19
ITM0000473,ORD0000188,PRD0000008,19
ITM0000474,ORD0000186,PRD0000044,16
ITM0000475,ORD0000197,PRD0000014,5
ITM0000476,ORD0000291,PRD0000046,15
ITM0000477,ORD0000017,PRD0000038,18
ITM0000478,ORD0000079,PRD0000032,16
ITM0000479,ORD0000231,PRD0000006,12
ITM0000480,ORD0000190,PRD0000033,11
ITM0000481,ORD0000191,PRD0000029,18
ITM0000482,ORD0000228,PRD0000004,18
ITM0000483,ORD0000040,PRD0000030,13
ITM0000484,ORD0000294,PRD0000009,15
ITM0000485,ORD0000071,PRD0000033,11
ITM0000486,ORD0000272,PRD0000027,7
ITM0000487,ORD0000188,PRD0000030,8
ITM0000488,ORD0000204,PRD0000037,19
ITM0000489,ORD0000161,PRD0000004,13
ITM0000490,ORD0000143,PRD0000036,8
ITM0000491,ORD0000128,PRD0000030,14
ITM0000492,ORD0000059,PRD0000044,2
ITM0000493,ORD0000014,PRD0000020,11
ITM0000494,ORD0000096,PRD0000047,16
ITM0000495,ORD0000256,PRD0000002,13
ITM0000496,ORD0000266,PRD0000026,13
ITM0000497,ORD0000199,PRD0000017,5
ITM0000498,ORD0000288,PRD0000001,16
ITM0000499,ORD0000061,PRD0000048,2
ITM0000500,ORD0000135,PRD0000014,5
ITM0000501,ORD0000134,PRD0000038,17
ITM0000502,ORD0000229,PRD0000005,19
ITM0000503,ORD0000110,PRD0000003,11
ITM0000504,ORD0000147,PRD0000028,4
ITM0000505,ORD0000252,PRD0000023,15
ITM0000506,ORD0000103,PRD0000045,4
ITM0000507,ORD0000063,PRD0000005,17
ITM0000508,ORD0000070,PRD0000035,15
ITM0000509,ORD0000038,PRD0000004,1
ITM0000510,ORD0000232,PRD0000005,5
ITM0000511,ORD0000089,PRD0000031,14
ITM0000512,ORD0000228,PRD0000003,5
ITM0000513,ORD0000045,PRD0000019,3
ITM0000514,ORD0000164,PRD0000027,16
ITM0000515,ORD0000178,PRD0000012,9
ITM0000516,ORD0000034,PRD0000050,11
ITM0000517,ORD0000282,PRD0000009,20
ITM0000518,ORD0000278,PRD0000050,13
ITM0000519,ORD0000149,PRD0000042,3
ITM0000520,ORD0000154,PRD0000047,11
ITM0000521,ORD0000081,PRD0000042,18
ITM0000522,ORD0000090,PRD0000027,13
ITM0000523,ORD0000186,PRD0000024,11
ITM0000524,ORD0000261,PRD0000025,16
ITM0000525,ORD0000115,PRD0000029,18
ITM0000526,ORD0000063,PRD0000025,2
ITM0000527,ORD0000103,PRD0000025,20
ITM0000528,ORD0000072,PRD0000006,3
ITM0000529,ORD0000122,PRD0000044,8
ITM0000530,ORD0000253,PRD0000043,10
ITM0000531,ORD0000014,PRD0000035,8
ITM0000532,ORD0000185,PRD0000009,3
ITM0000533,ORD0000284,PRD0000042,14
ITM0000534,ORD0000294,PRD0000023,4
ITM0000535,ORD0000189,PRD0000008,4
ITM0000536,ORD0000240,PRD0000012,15
ITM0000537,ORD0000283,PRD0000035,6
ITM0000538,ORD0000067,PRD0000026,10
ITM0000539,ORD0000045,PRD0000034,1
ITM0000540,ORD0000034,PRD0000009,2
ITM0000541,ORD0000159,PRD0000047,11
ITM0000542,ORD0000204,PRD0000015,2
ITM0000543,ORD0000246,PRD0000001,10
ITM0000544,ORD0000270,PRD0000049,12
ITM0000545,ORD0000211,PRD0000002,12
ITM0000546,ORD0000210,PRD0000020,14
ITM0000547,ORD0000295,PRD0000030,5
ITM0000548,ORD0000038,PRD0000044,8
ITM0000549,ORD0000065,PRD0000047,17
ITM0000550,ORD0000163,PRD0000035,14
ITM0000551,ORD0000038,PRD0000028,19
ITM0000552,ORD0000231,PRD0000035,6
ITM0000553,ORD0000239,PRD0000025,6
ITM0000554,ORD0000265,PRD0000015,6
ITM0000555,ORD0000177,PRD0000016,3
ITM0000556,ORD0000066,PRD0000030,20
ITM0000557,ORD0000283,PRD0000023,13
ITM0000558,ORD0000094,PRD0000010,20
ITM0000559,ORD0000067,PRD0000018,8
ITM0000560,ORD0000222,PRD0000013,16
ITM0000561,ORD0000258,PRD0000047,19
ITM0000562,ORD0000029,PRD0000049,5
ITM0000563,ORD0000064,PRD0000008,8
ITM0000564,ORD0000266,PRD0000003,15
ITM0000565,ORD0000079,PRD0000043,9
ITM0000566,ORD0000156,PRD0000027,15
ITM0000567,ORD0000085,PRD0000040,9
ITM0000568,ORD0000083,PRD0000050,1
ITM0000569,ORD0000166,PRD0000002,15
ITM0000570,ORD0000116,PRD0000016,10
ITM0000571,ORD0000178,PRD0000014,18
ITM0000572,ORD0000266,PRD0000005,6
ITM0000573,ORD0000146,PRD0000007,3
ITM0000574,ORD0000041,PRD0000039,15
ITM0000575,ORD0000129,PRD0000003,12
ITM0000576,ORD0000101,PRD0000029,19
ITM0000577,ORD0000283,PRD0000039,10
ITM0000578,ORD0000141,PRD0000044,14
ITM0000579,ORD0000065,PRD0000046,9
ITM0000580,ORD0000156,PRD0000004,15
ITM0000581,ORD0000274,PRD0000016,10
ITM0000582,ORD0000048,PRD0000048,7
ITM0000583,ORD0000258,PRD0000003,13
ITM0000584,ORD0000087,PRD0000026,16
ITM0000585,ORD0000298,PRD0000029,4
ITM0000586,ORD0000079,PRD0000015,8
ITM0000587,ORD0000088,PRD0000035,13
ITM0000588,ORD0000173,PRD0000014,19
ITM0000589,ORD0000289,PRD0000049,12
ITM0000590,ORD0000022,PRD0000050,19
ITM0000591,ORD0000015,PRD0000004,10
ITM0000592,ORD0000042,PRD0000009,10
ITM0000593,ORD0000024,PRD0000033,1
ITM0000594,ORD0000296,PRD0000019,13
ITM0000595,ORD0000136,PRD0000015,9
ITM0000596,ORD0000108,PRD0000047,1
ITM0000597,ORD0000293,PRD0000037,19
ITM0000598,ORD0000214,PRD0000021,2
ITM0000599,ORD0000016,PRD0000037,20
ITM0000600,ORD0000255,PRD0000039,16
