CUSTOMER_ID,COUNTRY_FIXED,COUNTRY_UNIFORM,COUNTRY_WEIGHTED,COUNTRY_RANDOM
CUS0000106,US,IN,DE,IN
CUS0000107,US,IN,FR,IN
CUS0000108,US,FR,US,DE
CUS0000109,US,FR,DE,IN
CUS0000110,US,DE,US,US
CUS0000111,US,FR,DE,FR
CUS0000112,US,IN,US,FR
CUS0000113,US,DE,US,IN
CUS0000114,US,IN,US,IN
CUS0000115,US,FR,US,US
CUS0000116,US,DE,US,FR
CUS0000117,US,DE,DE,US
CUS0000118,US,DE,US,DE
CUS0000119,US,US,US,FR
CUS0000120,US,DE,IN,DE
CUS0000121,US,FR,IN,US
CUS0000122,US,FR,DE,IN
CUS0000123,US,DE,US,FR
CUS0000124,US,US,IN,IN
CUS0000125,US,DE,US,DE
CUS0000126,US,DE,IN,US
CUS0000127,US,DE,IN,FR
CUS0000128,US,DE,US,DE
CUS0000129,US,IN,US,FR
CUS0000130,US,IN,IN,DE
CUS0000131,US,FR,IN,US
CUS0000132,US,DE,US,FR
CUS0000133,US,DE,US,FR
CUS0000134,US,IN,IN,IN
CUS0000135,US,US,US,DE
CUS0000136,US,US,DE,IN
CUS0000137,US,DE,US,IN
CUS0000138,US,IN,US,IN
CUS0000139,US,FR,IN,US
CUS0000140,US,FR,US,IN
CUS0000141,US,FR,US,IN
CUS0000142,US,IN,IN,US
CUS0000143,US,US,IN,IN
CUS0000144,US,IN,DE,FR
CUS0000145,US,US,IN,US
CUS0000146,US,FR,US,FR
CUS0000147,US,DE,FR,FR
CUS0000148,US,FR,DE,FR
CUS0000149,US,IN,IN,FR
CUS0000150,US,FR,US,IN
CUS0000151,US,DE,IN,FR
CUS0000152,US,IN,US,US
CUS0000153,US,DE,US,DE
CUS0000154,US,DE,DE,US
CUS0000155,US,IN,US,FR
CUS0000156,US,IN,IN,US
CUS0000157,US,FR,US,FR
CUS0000158,US,FR,US,FR
CUS0000159,US,FR,DE,US
CUS0000160,US,FR,US,DE
CUS0000161,US,DE,IN,FR
CUS0000162,US,IN,US,DE
CUS0000163,US,FR,US,FR
CUS0000164,US,DE,IN,FR
CUS0000165,US,IN,DE,IN
CUS0000166,US,US,DE,US
CUS0000167,US,US,IN,IN
CUS0000168,US,FR,US,DE
CUS0000169,US,FR,US,FR
CUS0000170,US,DE,US,FR
CUS0000171,US,DE,IN,FR
CUS0000172,US,DE,DE,FR
CUS0000173,US,US,IN,US
CUS0000174,US,DE,US,US
CUS0000175,US,US,IN,IN
CUS0000176,US,IN,DE,IN
CUS0000177,US,IN,US,US
CUS0000178,US,IN,US,DE
CUS0000179,US,DE,US,US
CUS0000180,US,IN,FR,US
CUS0000181,US,US,DE,FR
CUS0000182,US,FR,DE,IN
CUS0000183,US,US,IN,IN
CUS0000184,US,US,IN,DE
CUS0000185,US,US,IN,US
CUS0000186,US,DE,IN,DE
CUS0000187,US,US,IN,DE
CUS0000188,US,US,DE,FR
CUS0000189,US,US,US,DE
CUS0000190,US,FR,IN,FR
CUS0000191,US,IN,IN,DE
CUS0000192,US,FR,US,DE
CUS0000193,US,DE,DE,US
CUS0000194,US,DE,DE,IN
CUS0000195,US,FR,IN,FR
CUS0000196,US,DE,US,DE
CUS0000197,US,IN,US,DE
CUS0000198,US,DE,US,DE
CUS0000199,US,US,IN,IN
CUS0000200,US,US,US,FR
CUS0000201,US,FR,IN,IN
CUS0000202,US,FR,IN,FR
CUS0000203,US,FR,IN,US
CUS0000204,US,DE,US,IN
CUS0000205,US,DE,IN,DE
CUS0000206,US,FR,IN,DE
CUS0000207,US,FR,FR,DE
CUS0000208,US,DE,IN,DE
CUS0000209,US,DE,US,US
CUS0000210,US,IN,US,IN
CUS0000211,US,IN,US,FR
CUS0000212,US,DE,IN,DE
CUS0000213,US,US,DE,DE
CUS0000214,US,IN,US,DE
CUS0000215,US,US,IN,IN
CUS0000216,US,DE,US,US
CUS0000217,US,DE,IN,IN
CUS0000218,US,FR,US,US
CUS0000219,US,DE,US,FR
CUS0000220,US,DE,US,US
CUS0000221,US,DE,DE,FR
CUS0000222,US,US,DE,FR
CUS0000223,US,FR,US,US
CUS0000224,US,IN,US,DE
CUS0000225,US,US,FR,US
CUS0000226,US,FR,IN,IN
CUS0000227,US,FR,US,FR
CUS0000228,US,DE,DE,FR
CUS0000229,US,DE,IN,US
CUS0000230,US,US,DE,IN
CUS0000231,US,IN,US,US
CUS0000232,US,IN,US,US
CUS0000233,US,IN,US,FR
CUS0000234,US,FR,US,IN
CUS0000235,US,DE,IN,FR
CUS0000236,US,US,IN,DE
CUS0000237,US,IN,US,IN
CUS0000238,US,IN,DE,IN
CUS0000239,US,US,US,DE
CUS0000240,US,DE,US,FR
CUS0000241,US,DE,IN,DE
CUS0000242,US,FR,US,US
CUS0000243,US,FR,IN,DE
CUS0000244,US,US,US,US
CUS0000245,US,DE,IN,IN
CUS0000246,US,FR,IN,FR
CUS0000247,US,DE,US,FR
CUS0000248,US,FR,FR,FR
CUS0000249,US,DE,US,DE
CUS0000250,US,US,DE,DE
CUS0000251,US,FR,IN,DE
CUS0000252,US,FR,DE,US
CUS0000253,US,FR,US,DE
CUS0000254,US,DE,US,FR
CUS0000255,US,US,IN,FR
CUS0000256,US,FR,US,DE
CUS0000257,US,FR,IN,US
CUS0000258,US,IN,US,IN
CUS0000259,US,DE,US,FR
CUS0000260,US,US,US,IN
CUS0000261,US,IN,US,US
CUS0000262,US,FR,US,US
CUS0000263,US,FR,DE,IN
CUS0000264,US,FR,DE,DE
CUS0000265,US,DE,US,FR
CUS0000266,US,FR,US,IN
CUS0000267,US,FR,US,IN
CUS0000268,US,US,US,FR
CUS0000269,US,DE,DE,DE
CUS0000270,US,US,US,DE
CUS0000271,US,FR,DE,FR
CUS0000272,US,FR,US,FR
CUS0000273,US,FR,DE,IN
CUS0000274,US,IN,IN,IN
CUS0000275,US,FR,US,FR
CUS0000276,US,FR,US,IN
CUS0000277,US,FR,FR,IN
CUS0000278,US,DE,DE,FR
CUS0000279,US,US,IN,FR
CUS0000280,US,US,IN,FR
CUS0000281,US,IN,US,DE
CUS0000282,US,DE,IN,FR
CUS0000283,US,US,DE,FR
CUS0000284,US,DE,IN,FR
CUS0000285,US,US,IN,IN
CUS0000286,US,DE,FR,US
CUS0000287,US,FR,FR,US
CUS0000288,US,FR,US,DE
CUS0000289,US,US,US,US
CUS0000290,US,DE,US,FR
CUS0000291,US,IN,US,FR
CUS0000292,US,IN,US,US
CUS0000293,US,FR,IN,IN
CUS0000294,US,FR,DE,IN
CUS0000295,US,IN,US,DE
CUS0000296,US,FR,US,US
CUS0000297,US,FR,DE,IN
CUS0000298,US,US,US,DE
CUS0000299,US,DE,IN,FR
CUS0000300,US,DE,US,DE
CUS0000301,US,IN,FR,FR
CUS0000302,US,US,US,DE
CUS0000303,US,DE,FR,DE
CUS0000304,US,US,FR,FR
CUS0000305,US,DE,US,US
CUS0000306,US,FR,DE,DE
CUS0000307,US,IN,IN,DE
CUS0000308,US,IN,IN,DE
CUS0000309,US,IN,IN,US
CUS0000310,US,DE,IN,US
CUS0000311,US,DE,IN,US
CUS0000312,US,DE,US,FR
CUS0000313,US,IN,US,DE
CUS0000314,US,DE,DE,DE
CUS0000315,US,FR,FR,DE
CUS0000316,US,DE,DE,FR
CUS0000317,US,US,US,IN
CUS0000318,US,FR,FR,DE
CUS0000319,US,US,IN,US
CUS0000320,US,DE,IN,FR
CUS0000321,US,DE,IN,DE
CUS0000322,US,FR,DE,DE
CUS0000323,US,US,IN,FR
CUS0000324,US,US,IN,DE
CUS0000325,US,IN,IN,FR
CUS0000326,US,DE,IN,US
CUS0000327,US,IN,US,US
CUS0000328,US,DE,FR,US
CUS0000329,US,US,US,IN
CUS0000330,US,FR,US,FR
CUS0000331,US,IN,DE,US
CUS0000332,US,FR,IN,DE
CUS0000333,US,US,IN,IN
CUS0000334,US,FR,US,IN
CUS0000335,US,DE,US,DE
CUS0000336,US,DE,US,DE
CUS0000337,US,IN,FR,FR
CUS0000338,US,US,IN,US
CUS0000339,US,US,IN,IN
CUS0000340,US,IN,IN,IN
CUS0000341,US,US,DE,IN
CUS0000342,US,IN,DE,IN
CUS0000343,US,DE,IN,US
CUS0000344,US,DE,DE,IN
CUS0000345,US,IN,IN,IN
CUS0000346,US,US,IN,US
CUS0000347,US,IN,US,IN
CUS0000348,US,DE,US,DE
CUS0000349,US,US,US,FR
CUS0000350,US,US,IN,FR
CUS0000351,US,FR,IN,US
CUS0000352,US,FR,IN,US
CUS0000353,US,DE,US,US
CUS0000354,US,US,FR,FR
CUS0000355,US,FR,IN,FR
CUS0000356,US,FR,US,US
CUS0000357,US,DE,IN,US
CUS0000358,US,IN,US,DE
CUS0000359,US,FR,FR,DE
CUS0000360,US,FR,IN,FR
CUS0000361,US,US,IN,US
CUS0000362,US,IN,US,IN
CUS0000363,US,FR,US,FR
CUS0000364,US,FR,US,US
CUS0000365,US,DE,US,DE
CUS0000366,US,DE,FR,FR
CUS0000367,US,US,US,US
CUS0000368,US,US,US,DE
CUS0000369,US,IN,IN,DE
CUS0000370,US,US,US,FR
CUS0000371,US,US,FR,DE
CUS0000372,US,DE,US,IN
CUS0000373,US,IN,IN,IN
CUS0000374,US,US,US,DE
CUS0000375,US,US,IN,IN
CUS0000376,US,FR,DE,US
CUS0000377,US,DE,US,DE
CUS0000378,US,DE,DE,DE
CUS0000379,US,US,US,IN
CUS0000380,US,FR,US,US
CUS0000381,US,US,IN,IN
CUS0000382,US,FR,US,DE
CUS0000383,US,IN,US,DE
CUS0000384,US,US,DE,IN
CUS0000385,US,IN,IN,US
CUS0000386,US,US,US,FR
CUS0000387,US,FR,IN,FR
CUS0000388,US,DE,US,US
CUS0000389,US,DE,US,DE
CUS0000390,US,FR,IN,DE
CUS0000391,US,US,US,US
CUS0000392,US,US,US,IN
CUS0000393,US,IN,IN,DE
CUS0000394,US,DE,US,FR
CUS0000395,US,FR,US,FR
CUS0000396,US,IN,IN,DE
CUS0000397,US,US,US,US
CUS0000398,US,FR,US,US
CUS0000399,US,DE,IN,FR
CUS0000400,US,FR,US,FR
CUS0000401,US,US,FR,IN
CUS0000402,US,FR,DE,DE
CUS0000403,US,US,US,US
CUS0000404,US,IN,US,FR
CUS0000405,US,US,US,DE
CUS0000406,US,DE,US,IN
CUS0000407,US,US,IN,US
CUS0000408,US,IN,DE,DE
CUS0000409,US,DE,IN,IN
CUS0000410,US,IN,US,DE
CUS0000411,US,IN,US,IN
CUS0000412,US,US,US,FR
CUS0000413,US,FR,IN,FR
CUS0000414,US,DE,DE,DE
CUS0000415,US,IN,US,FR
CUS0000416,US,FR,IN,DE
CUS0000417,US,US,US,US
CUS0000418,US,DE,US,US
CUS0000419,US,US,US,DE
CUS0000420,US,US,IN,US
CUS0000421,US,FR,US,US
CUS0000422,US,FR,DE,IN
CUS0000423,US,DE,IN,IN
CUS0000424,US,US,US,DE
CUS0000425,US,US,IN,IN
CUS0000426,US,US,US,FR
CUS0000427,US,FR,IN,IN
CUS0000428,US,DE,US,DE
CUS0000429,US,FR,US,DE
CUS0000430,US,US,IN,DE
CUS0000431,US,US,US,FR
CUS0000432,US,DE,US,IN
CUS0000433,US,DE,US,IN
CUS0000434,US,DE,US,FR
CUS0000435,US,IN,IN,US
CUS0000436,US,DE,IN,DE
CUS0000437,US,IN,IN,US
CUS0000438,US,FR,IN,US
CUS0000439,US,DE,US,IN
CUS0000440,US,DE,DE,FR
CUS0000441,US,IN,US,IN
CUS0000442,US,IN,US,US
CUS0000443,US,US,IN,IN
CUS0000444,US,FR,US,IN
CUS0000445,US,IN,IN,US
CUS0000446,US,FR,US,IN
CUS0000447,US,FR,IN,FR
CUS0000448,US,IN,IN,DE
CUS0000449,US,FR,DE,IN
CUS0000450,US,DE,IN,FR
CUS0000451,US,FR,IN,FR
CUS0000452,US,FR,FR,IN
CUS0000453,US,IN,DE,US
CUS0000454,US,FR,DE,US
CUS0000455,US,US,US,IN
CUS0000456,US,DE,US,IN
CUS0000457,US,FR,US,IN
CUS0000458,US,FR,DE,US
CUS0000459,US,FR,US,DE
CUS0000460,US,IN,US,US
CUS0000461,US,DE,US,DE
CUS0000462,US,US,DE,DE
CUS0000463,US,IN,US,DE
CUS0000464,US,FR,IN,IN
CUS0000465,US,FR,US,US
CUS0000466,US,US,US,IN
CUS0000467,US,IN,IN,FR
CUS0000468,US,US,IN,IN
CUS0000469,US,DE,US,IN
CUS0000470,US,FR,IN,FR
CUS0000471,US,US,US,FR
CUS0000472,US,US,IN,IN
CUS0000473,US,IN,US,US
CUS0000474,US,DE,US,FR
CUS0000475,US,IN,IN,US
CUS0000476,US,DE,US,US
CUS0000477,US,FR,DE,US
CUS0000478,US,FR,FR,DE
CUS0000479,US,US,US,US
CUS0000480,US,DE,US,US
CUS0000481,US,DE,US,DE
CUS0000482,US,DE,DE,IN
CUS0000483,US,FR,FR,FR
CUS0000484,US,IN,DE,US
CUS0000485,US,FR,US,IN
CUS0000486,US,US,IN,US
CUS0000487,US,DE,DE,FR
CUS0000488,US,FR,US,IN
CUS0000489,US,DE,US,US
CUS0000490,US,DE,US,DE
CUS0000491,US,FR,DE,FR
CUS0000492,US,FR,US,IN
CUS0000493,US,FR,IN,DE
CUS0000494,US,DE,DE,FR
CUS0000495,US,US,US,IN
CUS0000496,US,DE,US,US
CUS0000497,US,DE,IN,DE
CUS0000498,US,FR,IN,FR
CUS0000499,US,IN,IN,DE
CUS0000500,US,FR,US,DE
CUS0000501,US,FR,US,US
CUS0000502,US,US,IN,FR
CUS0000503,US,DE,IN,IN
CUS0000504,US,US,US,FR
CUS0000505,US,US,US,IN
CUS0000506,US,DE,US,US
CUS0000507,US,IN,IN,DE
CUS0000508,US,DE,US,US
CUS0000509,US,IN,IN,FR
CUS0000510,US,DE,IN,IN
CUS0000511,US,US,US,IN
CUS0000512,US,FR,IN,US
CUS0000513,US,DE,IN,FR
CUS0000514,US,IN,FR,DE
CUS0000515,US,FR,US,IN
CUS0000516,US,US,US,FR
CUS0000517,US,US,DE,DE
CUS0000518,US,DE,IN,DE
CUS0000519,US,DE,DE,IN
CUS0000520,US,DE,IN,US
CUS0000521,US,IN,IN,IN
CUS0000522,US,FR,US,DE
CUS0000523,US,FR,DE,IN
CUS0000524,US,US,US,FR
CUS0000525,US,FR,IN,FR
CUS0000526,US,US,US,DE
CUS0000527,US,US,US,DE
CUS0000528,US,IN,DE,IN
CUS0000529,US,IN,US,US
CUS0000530,US,US,IN,DE
CUS0000531,US,IN,US,IN
CUS0000532,US,DE,DE,DE
CUS0000533,US,US,US,DE
CUS0000534,US,IN,IN,US
CUS0000535,US,IN,IN,IN
CUS0000536,US,IN,IN,DE
CUS0000537,US,US,DE,US
CUS0000538,US,US,US,DE
CUS0000539,US,IN,IN,FR
CUS0000540,US,US,US,DE
CUS0000541,US,DE,US,FR
CUS0000542,US,DE,US,US
CUS0000543,US,IN,US,FR
CUS0000544,US,FR,US,IN
CUS0000545,US,DE,DE,DE
CUS0000546,US,DE,FR,IN
CUS0000547,US,DE,IN,US
CUS0000548,US,DE,US,US
CUS0000549,US,DE,US,IN
CUS0000550,US,US,US,FR
CUS0000551,US,FR,US,IN
CUS0000552,US,DE,DE,DE
CUS0000553,US,IN,IN,FR
CUS0000554,US,FR,US,DE
CUS0000555,US,FR,US,FR
CUS0000556,US,FR,FR,IN
CUS0000557,US,DE,US,DE
CUS0000558,US,FR,IN,FR
CUS0000559,US,DE,IN,US
CUS0000560,US,FR,US,DE
CUS0000561,US,DE,IN,DE
CUS0000562,US,US,US,IN
CUS0000563,US,DE,IN,US
CUS0000564,US,FR,IN,DE
CUS0000565,US,US,US,US
CUS0000566,US,FR,US,DE
CUS0000567,US,DE,IN,IN
CUS0000568,US,FR,IN,US
CUS0000569,US,US,US,DE
CUS0000570,US,FR,IN,IN
CUS0000571,US,IN,US,DE
CUS0000572,US,IN,US,DE
CUS0000573,US,DE,IN,FR
CUS0000574,US,DE,US,US
CUS0000575,US,DE,US,US
CUS0000576,US,FR,IN,US
CUS0000577,US,FR,US,IN
CUS0000578,US,US,IN,IN
CUS0000579,US,FR,US,IN
CUS0000580,US,US,IN,US
CUS0000581,US,IN,US,DE
CUS0000582,US,FR,US,IN
CUS0000583,US,FR,IN,FR
CUS0000584,US,US,IN,IN
CUS0000585,US,DE,FR,FR
CUS0000586,US,FR,US,IN
CUS0000587,US,FR,DE,DE
CUS0000588,US,DE,IN,DE
CUS0000589,US,FR,US,IN
CUS0000590,US,DE,IN,IN
CUS0000591,US,DE,IN,IN
CUS0000592,US,FR,US,DE
CUS0000593,US,DE,US,FR
CUS0000594,US,FR,DE,IN
CUS0000595,US,DE,US,US
CUS0000596,US,DE,DE,DE
CUS0000597,US,FR,US,DE
CUS0000598,US,DE,US,IN
CUS0000599,US,IN,US,IN
CUS0000600,US,IN,US,FR
CUS0000601,US,DE,IN,US
CUS0000602,US,IN,US,IN
CUS0000603,US,FR,IN,FR
CUS0000604,US,FR,IN,DE
CUS0000605,US,DE,US,US
CUS0000606,US,US,IN,IN
CUS0000607,US,US,DE,IN
CUS0000608,US,FR,DE,IN
CUS0000609,US,US,FR,FR
CUS0000610,US,FR,US,DE
CUS0000611,US,US,US,US
CUS0000612,US,DE,US,FR
CUS0000613,US,IN,DE,FR
CUS0000614,US,DE,US,US
CUS0000615,US,DE,US,FR
CUS0000616,US,DE,IN,US
CUS0000617,US,DE,IN,IN
CUS0000618,US,IN,IN,FR
CUS0000619,US,FR,IN,US
CUS0000620,US,FR,IN,IN
CUS0000621,US,IN,US,IN
CUS0000622,US,US,US,IN
CUS0000623,US,FR,IN,DE
CUS0000624,US,DE,IN,US
CUS0000625,US,DE,IN,IN
CUS0000626,US,US,IN,FR
CUS0000627,US,DE,US,DE
CUS0000628,US,US,IN,DE
CUS0000629,US,DE,IN,IN
CUS0000630,US,IN,US,FR
CUS0000631,US,DE,US,FR
CUS0000632,US,IN,IN,US
CUS0000633,US,FR,IN,DE
CUS0000634,US,US,DE,US
CUS0000635,US,US,DE,IN
CUS0000636,US,IN,US,FR
CUS0000637,US,US,IN,FR
CUS0000638,US,US,DE,FR
CUS0000639,US,US,US,FR
CUS0000640,US,FR,IN,FR
CUS0000641,US,DE,IN,FR
CUS0000642,US,DE,DE,IN
CUS0000643,US,US,US,DE
CUS0000644,US,US,IN,US
CUS0000645,US,US,FR,FR
CUS0000646,US,US,US,IN
CUS0000647,US,IN,IN,FR
CUS0000648,US,DE,FR,FR
CUS0000649,US,FR,DE,FR
CUS0000650,US,FR,US,IN
CUS0000651,US,DE,US,FR
CUS0000652,US,IN,IN,IN
CUS0000653,US,US,IN,DE
CUS0000654,US,FR,IN,FR
CUS0000655,US,FR,DE,IN
CUS0000656,US,FR,US,DE
CUS0000657,US,IN,DE,US
CUS0000658,US,US,DE,FR
CUS0000659,US,US,US,US
CUS0000660,US,US,IN,FR
CUS0000661,US,US,US,US
CUS0000662,US,FR,US,IN
CUS0000663,US,US,US,DE
CUS0000664,US,IN,DE,DE
CUS0000665,US,DE,US,IN
CUS0000666,US,IN,US,DE
CUS0000667,US,US,IN,IN
CUS0000668,US,FR,IN,US
CUS0000669,US,DE,DE,FR
CUS0000670,US,DE,IN,FR
CUS0000671,US,IN,US,IN
CUS0000672,US,FR,US,IN
CUS0000673,US,DE,DE,IN
CUS0000674,US,FR,DE,FR
CUS0000675,US,FR,IN,IN
CUS0000676,US,FR,US,IN
CUS0000677,US,DE,IN,FR
CUS0000678,US,DE,US,IN
CUS0000679,US,US,US,US
CUS0000680,US,US,US,IN
CUS0000681,US,FR,US,DE
CUS0000682,US,DE,FR,US
CUS0000683,US,IN,DE,US
CUS0000684,US,FR,DE,IN
CUS0000685,US,FR,DE,DE
CUS0000686,US,DE,US,DE
CUS0000687,US,DE,US,FR
CUS0000688,US,FR,US,FR
CUS0000689,US,DE,DE,DE
CUS0000690,US,DE,US,IN
CUS0000691,US,IN,US,FR
CUS0000692,US,DE,US,DE
CUS0000693,US,IN,US,IN
CUS0000694,US,FR,IN,DE
CUS0000695,US,DE,IN,FR
CUS0000696,US,FR,US,DE
CUS0000697,US,IN,US,FR
CUS0000698,US,IN,DE,US
CUS0000699,US,US,DE,US
CUS0000700,US,US,IN,FR
CUS0000701,US,IN,DE,IN
CUS0000702,US,US,IN,US
CUS0000703,US,IN,IN,DE
CUS0000704,US,US,IN,FR
CUS0000705,US,FR,US,FR
CUS0000706,US,US,US,DE
CUS0000707,US,DE,US,FR
CUS0000708,US,IN,US,US
CUS0000709,US,IN,US,DE
CUS0000710,US,DE,US,FR
CUS0000711,US,US,US,FR
CUS0000712,US,FR,IN,IN
CUS0000713,US,DE,IN,US
CUS0000714,US,US,US,FR
CUS0000715,US,FR,IN,US
CUS0000716,US,US,IN,US
CUS0000717,US,FR,DE,DE
CUS0000718,US,US,DE,US
CUS0000719,US,IN,US,FR
CUS0000720,US,DE,US,US
CUS0000721,US,DE,DE,US
CUS0000722,US,IN,DE,DE
CUS0000723,US,US,FR,IN
CUS0000724,US,FR,DE,DE
CUS0000725,US,IN,IN,FR
CUS0000726,US,DE,US,IN
CUS0000727,US,US,IN,DE
CUS0000728,US,US,US,IN
CUS0000729,US,US,US,FR
CUS0000730,US,DE,US,DE
CUS0000731,US,FR,US,DE
CUS0000732,US,FR,US,FR
CUS0000733,US,US,IN,DE
CUS0000734,US,IN,IN,US
CUS0000735,US,DE,US,IN
CUS0000736,US,FR,US,US
CUS0000737,US,US,US,DE
CUS0000738,US,FR,US,DE
CUS0000739,US,US,US,IN
CUS0000740,US,FR,US,FR
CUS0000741,US,US,US,DE
CUS0000742,US,US,IN,DE
CUS0000743,US,FR,US,FR
CUS0000744,US,FR,IN,IN
CUS0000745,US,IN,IN,IN
CUS0000746,US,IN,US,DE
CUS0000747,US,FR,US,IN
CUS0000748,US,FR,US,DE
CUS0000749,US,FR,IN,DE
CUS0000750,US,DE,DE,FR
CUS0000751,US,IN,US,IN
CUS0000752,US,DE,US,FR
CUS0000753,US,DE,DE,FR
CUS0000754,US,DE,US,FR
CUS0000755,US,IN,US,IN
CUS0000756,US,FR,US,FR
CUS0000757,US,DE,US,FR
CUS0000758,US,IN,US,DE
CUS0000759,US,FR,US,IN
CUS0000760,US,IN,IN,US
CUS0000761,US,FR,DE,IN
CUS0000762,US,FR,IN,US
CUS0000763,US,FR,IN,IN
CUS0000764,US,DE,US,IN
CUS0000765,US,FR,IN,US
CUS0000766,US,FR,FR,FR
CUS0000767,US,FR,IN,FR
CUS0000768,US,US,IN,DE
CUS0000769,US,US,US,IN
CUS0000770,US,DE,US,US
CUS0000771,US,FR,FR,DE
CUS0000772,US,FR,US,US
CUS0000773,US,DE,US,IN
CUS0000774,US,FR,US,FR
CUS0000775,US,IN,US,US
CUS0000776,US,FR,US,FR
CUS0000777,US,US,US,IN
CUS0000778,US,DE,US,FR
CUS0000779,US,IN,IN,DE
CUS0000780,US,FR,US,FR
CUS0000781,US,DE,US,US
CUS0000782,US,US,US,DE
CUS0000783,US,US,IN,IN
CUS0000784,US,IN,IN,IN
CUS0000785,US,DE,IN,FR
CUS0000786,US,IN,IN,IN
CUS0000787,US,IN,IN,FR
CUS0000788,US,FR,US,IN
CUS0000789,US,FR,IN,FR
CUS0000790,US,US,IN,IN
CUS0000791,US,DE,IN,US
CUS0000792,US,US,IN,IN
CUS0000793,US,DE,US,FR
CUS0000794,US,US,US,FR
CUS0000795,US,DE,IN,FR
CUS0000796,US,US,US,FR
CUS0000797,US,IN,DE,DE
CUS0000798,US,US,IN,DE
CUS0000799,US,US,US,US
CUS0000800,US,IN,US,IN
CUS0000801,US,FR,US,IN
CUS0000802,US,FR,US,FR
CUS0000803,US,IN,IN,FR
CUS0000804,US,DE,US,DE
CUS0000805,US,FR,IN,DE
CUS0000806,US,US,US,IN
CUS0000807,US,FR,FR,FR
CUS0000808,US,FR,IN,FR
CUS0000809,US,FR,US,US
CUS0000810,US,US,IN,IN
CUS0000811,US,DE,US,IN
CUS0000812,US,DE,US,FR
CUS0000813,US,FR,IN,US
